TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
55,324,7,27,0.9176755447941889,0.7254485539801405,0.8570177582274356,0.9131656721869954,1
56,308,10,39,0.8813559322033898,0.6409054751374783,0.8109839816933638,0.8732575728192995,2
56,303,11,43,0.8692493946731235,0.6144611761289657,0.7964403066812706,0.859816638334098,3
55,309,13,36,0.8813559322033898,0.6303494688114158,0.809180315502626,0.8748203448643443,4
49,319,6,39,0.8910411622276029,0.6488289735831836,0.8097144436822328,0.8811012299609465,5
55,313,9,36,0.8910411622276029,0.660243340536554,0.8213066679486563,0.8837433663146899,6
50,322,10,31,0.9007263922518159,0.6616184398099277,0.8246829217787441,0.8948553890167626,7
62,296,11,44,0.8668280871670703,0.6287137157658287,0.8038648510961636,0.8579486564391219,8
51,308,13,41,0.8692493946731235,0.5908531693008591,0.7866245694603904,0.8602474681908022,9
61,301,17,34,0.8765133171912833,0.6329362374084238,0.8135506200816154,0.8720534594793485,10
55,322,7,29,0.9128329297820823,0.7138792139239162,0.8502417405318291,0.9076756033270051,11
49,323,11,30,0.9007263922518159,0.6555380065107506,0.8226781020598369,0.8953142845377737,12
54,322,7,30,0.910411622276029,0.7051780038113264,0.8452478606511722,0.9048192098977763,13
57,315,11,30,0.9007263922518159,0.6832768322599971,0.8371905196865534,0.8960473938846066,14
53,323,6,31,0.910411622276029,0.7048045182768422,0.8435429870276137,0.9042200819752501,15
54,309,13,37,0.8789346246973365,0.6217631119873039,0.8043470021981354,0.871914613168,16
66,297,12,38,0.8789346246973365,0.6607123738215591,0.8238174868609651,0.872730964161641,17
60,308,8,37,0.8910411622276029,0.6781035381152168,0.8295970292944574,0.8838561628120335,18
54,312,11,36,0.8861985472154964,0.6415786223523451,0.8133647420797078,0.8791410079581526,19
55,316,8,34,0.8983050847457628,0.6784649807058835,0.8306848352334841,0.8915689679361102,20
66,297,13,37,0.8789346246973365,0.6587556653028516,0.8238174868609651,0.873208168818233,21
57,306,15,35,0.8789346246973365,0.6282514241152042,0.809796625156584,0.8733813717221758,22
50,319,8,36,0.8934624697336562,0.6508725326831255,0.8149641577060932,0.8852916417159172,23
65,301,10,37,0.8861985472154964,0.6768911784672514,0.8310220852593733,0.8798859858900075,24
56,309,6,42,0.8837772397094431,0.6578965458838719,0.813963963963964,0.8738433348602841,25
57,307,10,39,0.8813559322033898,0.6441454269843259,0.8127400086981466,0.8733964850767816,26
49,311,9,44,0.8716707021791767,0.5996212987063313,0.7852440519990189,0.8601251573077816,27
54,312,13,34,0.8861985472154964,0.6371537447060835,0.8133647420797077,0.8802702142393275,28
56,300,12,45,0.8619854721549637,0.598023917311393,0.7879819513117722,0.8519767992540402,29
56,306,14,37,0.8765133171912833,0.621679019751237,0.8050967437470504,0.869942992434414,30
