TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
77,301,18,17,0.9152542372881356,0.7598896388751517,0.8799348799348798,0.9154119129906055,1
77,301,18,17,0.9152542372881356,0.7598896388751517,0.8799348799348798,0.9154119129906055,2
75,301,18,19,0.910411622276029,0.7442559858071046,0.8721180320186119,0.9102421816111733,3
74,302,17,20,0.910411622276029,0.742459343559228,0.8711388455538221,0.9098948752138948,4
76,303,16,18,0.9176755447941889,0.7641608118024326,0.8820396505376343,0.9173615721575672,5
74,302,17,20,0.910411622276029,0.742459343559228,0.8711388455538221,0.9098948752138948,6
72,303,16,22,0.9079903147699758,0.7329399171841595,0.8661012900143336,0.9069022881529463,7
75,300,19,19,0.9079903147699758,0.7383112118988862,0.8691556059494431,0.9079903147699758,8
73,307,12,21,0.9200968523002422,0.7663806033129261,0.8823189106576983,0.9186438545447596,9
80,296,23,14,0.910411622276029,0.7548782745119877,0.8766796058524933,0.911817122960343,10
76,300,19,18,0.910411622276029,0.7461677018870253,0.8730740159311589,0.9105783080186401,11
80,298,21,14,0.9152542372881356,0.7659843339488013,0.8825226543134626,0.9163052514203499,12
73,300,19,21,0.9031476997578692,0.7225251369641206,0.8612231182795699,0.9027783201853732,13
71,305,14,23,0.910411622276029,0.7378129613463899,0.8680545361919646,0.9087825035804882,14
75,300,19,19,0.9079903147699758,0.7383112118988862,0.8691556059494431,0.9079903147699758,15
74,302,17,20,0.910411622276029,0.742459343559228,0.8711388455538221,0.9098948752138948,16
74,301,18,20,0.9079903147699758,0.736403695243558,0.8681619623655915,0.9076394041761046,17
76,302,17,18,0.9152542372881356,0.7580812780365984,0.8790305708284167,0.9150939555781368,18
75,303,16,19,0.9152542372881356,0.7563922638104985,0.8781043133617237,0.9147654224996302,19
78,301,18,16,0.9176755447941889,0.7676729407392042,0.883796756041046,0.9179793904332306,20
76,303,16,18,0.9176755447941889,0.7641608118024326,0.8820396505376343,0.9173615721575672,21
74,307,12,20,0.9225181598062954,0.7740611959177753,0.886343309253526,0.9212761048516939,22
74,301,18,20,0.9079903147699758,0.736403695243558,0.8681619623655915,0.9076394041761046,23
74,300,19,20,0.9055690072639225,0.7304306935776109,0.8652054932088071,0.9053904076442095,24
71,299,20,23,0.8958837772397095,0.7006605828054165,0.8502424421301177,0.8952832333566886,25
78,296,23,16,0.9055690072639225,0.7391133979154321,0.8690966719492867,0.9067401372969613,26
74,302,17,20,0.910411622276029,0.742459343559228,0.8711388455538221,0.9098948752138948,27
74,302,17,20,0.910411622276029,0.742459343559228,0.8711388455538221,0.9098948752138948,28
73,301,18,21,0.9055690072639225,0.7285264233079575,0.8641733777459206,0.9050243279281593,29
71,307,12,23,0.9152542372881356,0.7509433280432575,0.8741653826399589,0.9133390788087714,30
