TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
70,287,32,24,0.864406779661017,0.6264876715186827,0.8126984126984127,0.866313078903878,1
70,289,30,24,0.8692493946731235,0.6368333993022028,0.8181032232806995,0.870650659642779,2
69,300,19,25,0.8934624697336562,0.690631281450318,0.8449593884376494,0.8922026494402534,3
72,289,30,22,0.87409200968523,0.6532695169112109,0.826077097505669,0.8758621446964581,4
73,290,29,21,0.8789346246973365,0.6666604396074751,0.832766439909297,0.880636677592748,5
70,297,22,24,0.8886198547215496,0.6808894621258087,0.8404065860215055,0.8881950682131793,6
63,298,21,31,0.87409200968523,0.6295543514706267,0.8138091274795395,0.8715267806552006,7
69,296,23,25,0.8837772397094431,0.6670109038463713,0.8334677419354838,0.8833339842224478,8
71,289,30,23,0.8716707021791767,0.6450651217986401,0.8221057336746718,0.8732622378651012,9
69,289,30,25,0.8668280871670703,0.6285732801573266,0.8140690355163749,0.8680271565227677,10
71,289,30,23,0.8716707021791767,0.6450651217986401,0.8221057336746718,0.8732622378651012,11
67,296,23,27,0.8789346246973365,0.6506810934090838,0.8251896248137613,0.8779958474067938,12
70,292,27,24,0.8765133171912833,0.6528313556456782,0.826334666281898,0.8771914070684372,13
67,302,17,27,0.8934624697336562,0.6869413066452377,0.8424538770980718,0.8912918913236313,14
69,289,30,25,0.8668280871670703,0.6285732801573266,0.8140690355163749,0.8680271565227677,15
63,295,24,31,0.8668280871670703,0.611774680019745,0.8054306394278128,0.8649755779680409,16
70,291,28,24,0.87409200968523,0.6474325798937707,0.8235738696109358,0.8750063651616878,17
69,290,29,25,0.8692493946731235,0.6338581228171066,0.8167882492113565,0.8701989176679066,18
67,295,24,27,0.8765133171912833,0.6449289018003345,0.8223805708985117,0.8758010442137469,19
67,292,27,27,0.8692493946731235,0.6281264590142066,0.8140632295071033,0.8692493946731235,20
70,298,21,24,0.8910411622276029,0.686727662554146,0.843276974322216,0.8904126860709529,21
72,293,26,22,0.8837772397094431,0.6745814940470987,0.8371451104100947,0.8846212601492502,22
67,294,25,27,0.87409200968523,0.6392537872874967,0.8195900537634409,0.8736118162409852,23
68,299,20,26,0.8886198547215496,0.6765284028723709,0.8379120879120879,0.8873027698693559,24
67,294,25,27,0.87409200968523,0.6392537872874967,0.8195900537634409,0.8736118162409852,25
66,297,22,28,0.8789346246973365,0.6483226457164766,0.8238174868609651,0.8775030107275607,26
67,298,21,27,0.8837772397094431,0.6624255242944237,0.8308647873865265,0.8824028902984582,27
71,288,31,23,0.8692493946731235,0.6398785942149467,0.8193877551020408,0.871087611800168,28
68,291,28,26,0.8692493946731235,0.6309549913966896,0.815441906653426,0.8697319730410131,29
69,296,23,25,0.8837772397094431,0.6670109038463713,0.8334677419354838,0.8833339842224478,30
