TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
72,279,40,22,0.8498789346246973,0.6041303019261018,0.799514563106796,0.8542584451914712,1
61,290,29,33,0.8498789346246973,0.5667506499408775,0.783235134769064,0.8487148507844242,2
71,289,30,23,0.8716707021791767,0.6450651217986401,0.8221057336746718,0.8732622378651012,3
73,283,36,21,0.8619854721549637,0.6314067696749627,0.8138595228870316,0.8654230399598158,4
69,288,31,25,0.864406779661017,0.6233525077639245,0.8113663056244291,0.8658599433332522,5
69,294,25,25,0.8789346246973365,0.6556726472353765,0.8278363236176882,0.8789346246973365,6
72,283,36,22,0.8595641646489104,0.6231324022610242,0.8099612845899974,0.8628553510035301,7
73,286,33,21,0.8692493946731235,0.6461708541305239,0.8218690095846646,0.8719187121428958,8
70,285,34,24,0.8595641646489104,0.6163829143853085,0.807357009586309,0.8619924044192641,9
69,284,35,25,0.8547215496368039,0.6030785272398537,0.8007141478479057,0.8572335218130317,10
72,283,36,22,0.8595641646489104,0.6231324022610242,0.8099612845899974,0.8628553510035301,11
71,283,36,23,0.8571428571428571,0.6148329625515674,0.8060338308457712,0.8602769012082445,12
72,285,34,22,0.864406779661017,0.6329497214698399,0.8152715654952076,0.8671749607407808,13
74,279,40,20,0.8547215496368039,0.6207628221259405,0.8072255414488424,0.8593553065331903,14
67,290,29,27,0.864406779661017,0.6172831964624381,0.808606421714664,0.8649072313017914,15
67,283,36,27,0.847457627118644,0.5813642126978401,0.7900220315866777,0.849850776932476,16
73,281,38,21,0.8571428571428571,0.6218312622771729,0.8085935352107144,0.8611108305700034,17
67,294,25,27,0.87409200968523,0.6392537872874967,0.8195900537634409,0.8736118162409852,18
70,291,28,24,0.87409200968523,0.6474325798937707,0.8235738696109358,0.8750063651616878,19
64,289,30,30,0.8547215496368039,0.5868071766824519,0.7934035883412258,0.8547215496368039,20
70,289,30,24,0.8692493946731235,0.6368333993022028,0.8181032232806995,0.870650659642779,21
68,287,32,26,0.8595641646489104,0.6098716162256462,0.8046293879681587,0.8610692270237257,22
70,286,33,24,0.8619854721549637,0.6214059192703357,0.8100199333403274,0.8641507029389067,23
72,284,35,22,0.8619854721549637,0.6280136536252138,0.8126089552238805,0.8650132774384734,24
69,292,27,25,0.87409200968523,0.6446267863309411,0.8222773915921882,0.874556714780235,25
70,282,37,24,0.8523002421307506,0.601652271477921,0.7994587064676617,0.8555405249780156,26
70,283,36,24,0.8547215496368039,0.6065074561484719,0.802076677316294,0.857687457936551,27
71,287,32,23,0.8668280871670703,0.6347531547945009,0.8166859005915441,0.8689173449410504,28
72,291,28,22,0.8789346246973365,0.6637951823787595,0.8315770585932402,0.8802320922618323,29
70,284,35,24,0.8571428571428571,0.6114172226333074,0.8047093521835653,0.859838037304316,30
