TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
65,305,14,29,0.8958837772397095,0.6903682569505355,0.8427975816374403,0.8925658900145677,1
77,300,19,17,0.9128329297820823,0.7540011458049527,0.8769612711022841,0.913154648694009,2
69,306,13,25,0.9079903147699758,0.7287077826340239,0.8628146853146853,0.9057029411266699,3
71,304,15,23,0.9079903147699758,0.7313945075228059,0.8650326797385621,0.9065153745113865,4
69,306,13,25,0.9079903147699758,0.7287077826340239,0.8628146853146853,0.9057029411266699,5
68,309,10,26,0.9128329297820823,0.7413631333462557,0.8678259014294858,0.9098449113022419,6
67,300,19,27,0.8886198547215496,0.6745055896628466,0.8366185070519436,0.8868344007243099,7
70,305,14,24,0.9079903147699758,0.7299815230261959,0.8639374393119711,0.9061157243249542,8
75,298,21,19,0.9031476997578692,0.7266575559364498,0.8632903012247599,0.9035051652155652,9
75,302,17,19,0.9128329297820823,0.7502822535229953,0.8751008064516128,0.9125004881668358,10
70,304,15,24,0.9055690072639225,0.7235291403631218,0.8609223489590979,0.9038518280983524,11
75,301,18,19,0.910411622276029,0.7442559858071046,0.8721180320186119,0.9102421816111733,12
67,306,13,27,0.9031476997578692,0.7129683061776245,0.8543826246386009,0.9002911681609247,13
70,304,15,24,0.9055690072639225,0.7235291403631218,0.8609223489590979,0.9038518280983524,14
67,307,12,27,0.9055690072639225,0.7197335270592508,0.8574210624153529,0.9025597607108871,15
73,301,18,21,0.9055690072639225,0.7285264233079575,0.8641733777459206,0.9050243279281593,16
70,303,16,24,0.9031476997578692,0.717172278057816,0.8579291365669075,0.9015951310646172,17
74,303,16,20,0.9128329297820823,0.748599944121991,0.8741365298659082,0.9121570101328916,18
74,298,21,20,0.9007263922518159,0.7187238279107726,0.8593522879237165,0.9009110980747093,19
75,299,20,19,0.9055690072639225,0.732445764898899,0.8662131519274376,0.9057447030466745,20
70,303,16,24,0.9031476997578692,0.717172278057816,0.8579291365669075,0.9015951310646172,21
65,300,19,29,0.8837772397094431,0.6582478290579321,0.8281315022888056,0.8814093359894161,22
73,303,16,21,0.910411622276029,0.7407828420919902,0.8701357196882781,0.9095360591762954,23
71,302,17,23,0.9031476997578692,0.7188370386062124,0.8590539894887721,0.9020024085820486,24
76,303,16,18,0.9176755447941889,0.7641608118024326,0.8820396505376343,0.9173615721575672,25
68,301,18,26,0.8934624697336562,0.6887278191278364,0.8437220502235981,0.8917546441710791,26
72,298,21,22,0.8958837772397095,0.7027801091186234,0.8513804155891977,0.8956868597102824,27
72,306,13,22,0.9152542372881356,0.752096782329658,0.8751867234248314,0.913713179062624,28
71,304,15,23,0.9079903147699758,0.7313945075228059,0.8650326797385621,0.9065153745113865,29
69,305,14,25,0.9055690072639225,0.7221212849707361,0.8597842835130971,0.9034349735297739,30
