TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
69,296,23,25,0.8837772397094431,0.6670109038463713,0.8334677419354838,0.8833339842224478,1
67,288,31,27,0.8595641646489104,0.6067092086637786,0.8032170084121977,0.8605840226803442,2
73,294,25,21,0.8886198547215496,0.6881559511237626,0.8439307308096741,0.8894287076430316,3
70,291,28,24,0.87409200968523,0.6474325798937707,0.8235738696109358,0.8750063651616878,4
69,296,23,25,0.8837772397094431,0.6670109038463713,0.8334677419354838,0.8833339842224478,5
67,296,23,27,0.8789346246973365,0.6506810934090838,0.8251896248137613,0.8779958474067938,6
70,294,25,24,0.8813559322033898,0.6638360799582672,0.8319088319088319,0.8815766781868476,7
68,297,22,26,0.8837772397094431,0.6646695006537848,0.832182039821211,0.882876013510522,8
69,291,28,25,0.8716707021791767,0.6392087126645917,0.8195242610380509,0.8723753838162189,9
71,291,28,23,0.8765133171912833,0.6556277082439272,0.8275912874788203,0.8776251815029301,10
72,289,30,22,0.87409200968523,0.6532695169112109,0.826077097505669,0.8758621446964581,11
70,295,24,24,0.8837772397094431,0.6694457413459615,0.8347228706729808,0.8837772397094431,12
68,290,29,26,0.8668280871670703,0.6255860696835052,0.8127138557942036,0.8675593605640007,13
76,278,41,18,0.8571428571428571,0.6327310848776827,0.8122220937849188,0.8622575975251966,14
72,288,31,22,0.8716707021791767,0.6481003903186662,0.8233518678427607,0.8736839869431942,15
71,290,29,23,0.87409200968523,0.6503142908404811,0.8248401409369699,0.8754413759523056,16
69,291,28,25,0.8716707021791767,0.6392087126645917,0.8195242610380509,0.8723753838162189,17
70,290,29,24,0.8716707021791767,0.6421004942006269,0.8208301614975975,0.8728261690128489,18
69,298,21,25,0.8886198547215496,0.6786579078984858,0.8391744548286604,0.8877561796142502,19
71,296,23,23,0.8886198547215496,0.6832188354565464,0.8416094177282732,0.8886198547215496,20
70,292,27,24,0.8765133171912833,0.6528313556456782,0.826334666281898,0.8771914070684372,21
71,292,27,23,0.8789346246973365,0.6610070369704346,0.8303594900105153,0.8798138126554691,22
68,292,27,26,0.8716707021791767,0.6363922059820145,0.8181871039013897,0.8719094682429169,23
66,292,27,28,0.8668280871670703,0.6198283557416611,0.8099051827303692,0.8665762159085008,24
71,290,29,23,0.87409200968523,0.6503142908404811,0.8248401409369699,0.8754413759523056,25
69,289,30,25,0.8668280871670703,0.6285732801573266,0.8140690355163749,0.8680271565227677,26
68,291,28,26,0.8692493946731235,0.6309549913966896,0.815441906653426,0.8697319730410131,27
75,283,36,19,0.8668280871670703,0.6478841470167592,0.8215702446879543,0.8705270454466134,28
72,287,32,22,0.8692493946731235,0.6429916886762181,0.8206427330631152,0.8715101696317286,29
66,297,22,28,0.8789346246973365,0.6483226457164766,0.8238174868609651,0.8775030107275607,30
