TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
71,290,29,23,0.87409200968523,0.6503142908404811,0.8248401409369699,0.8754413759523056,1
73,279,40,21,0.8523002421307506,0.6124581368058344,0.8033839838293024,0.8568119358575832,2
72,283,36,22,0.8595641646489104,0.6231324022610242,0.8099612845899974,0.8628553510035301,3
72,284,35,22,0.8619854721549637,0.6280136536252138,0.8126089552238805,0.8650132774384734,4
71,284,35,23,0.8595641646489104,0.6197285888091559,0.8086741214057508,0.8624312093386659,5
75,286,33,19,0.87409200968523,0.6625554540584817,0.8296204620462047,0.8770427284859237,6
74,282,37,20,0.8619854721549637,0.634857704646966,0.8150818899493342,0.8658189380083084,7
72,283,36,22,0.8595641646489104,0.6231324022610242,0.8099612845899974,0.8628553510035301,8
72,282,37,22,0.8571428571428571,0.6183046747206462,0.8073282780760502,0.8607010413619147,9
75,278,41,19,0.8547215496368039,0.6244569784866629,0.8084415584415585,0.859737115185057,10
74,287,32,20,0.87409200968523,0.6593919867912079,0.8284664536741214,0.8766624635450108,11
71,283,36,23,0.8571428571428571,0.6148329625515674,0.8060338308457712,0.8602769012082445,12
75,283,36,19,0.8668280871670703,0.6478841470167592,0.8215702446879543,0.8705270454466134,13
73,282,37,21,0.8595641646489104,0.6265931269552883,0.8112193430426834,0.8632652036235499,14
73,285,34,21,0.8668280871670703,0.6411943446988602,0.81918407960199,0.8697496536687026,15
75,283,36,19,0.8668280871670703,0.6478841470167592,0.8215702446879543,0.8705270454466134,16
75,287,32,19,0.8765133171912833,0.6675557268461528,0.8323343283582089,0.8792224061291604,17
72,290,29,22,0.8765133171912833,0.6585005898153247,0.8288187248567598,0.8780447949267955,18
70,276,43,24,0.837772397094431,0.5735972963540277,0.7840447035502173,0.8427278639747224,19
71,285,34,23,0.8619854721549637,0.6246795815066035,0.8113293741434444,0.8645892902770511,20
73,290,29,21,0.8789346246973365,0.6666604396074751,0.832766439909297,0.880636677592748,21
72,276,43,22,0.8426150121065376,0.5903947884454801,0.7918233775096353,0.8478435627268069,22
70,283,36,24,0.8547215496368039,0.6065074561484719,0.802076677316294,0.857687457936551,23
67,294,25,27,0.87409200968523,0.6392537872874967,0.8195900537634409,0.8736118162409852,24
74,276,43,20,0.847457627118644,0.6070991144947026,0.7994913882788117,0.8529191295608032,25
74,288,31,20,0.8765133171912833,0.6644666581264915,0.8311894400230819,0.8788430491952565,26
73,286,33,21,0.8692493946731235,0.6461708541305239,0.8218690095846646,0.8719187121428958,27
75,288,31,19,0.8789346246973365,0.6726131194518918,0.8350638977635783,0.8814062149471258,28
74,281,38,20,0.8595641646489104,0.6301096662217578,0.8124491074224867,0.8636611261468604,29
74,283,36,20,0.864406779661017,0.6396570353521047,0.8177290208687976,0.867980196602048,30
