TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
52,306,13,42,0.8668280871670703,0.5900044133035146,0.7858146398498864,0.8575785203473919,1
52,298,21,42,0.847457627118644,0.5356843345073548,0.7635775489991186,0.840297132645026,2
58,298,21,36,0.8619854721549637,0.587589811570032,0.7916153989147465,0.8575873425774503,3
54,300,19,40,0.8571428571428571,0.5659618259746515,0.7785884982690159,0.8504369972389927,4
53,302,17,41,0.8595641646489104,0.5705470637852094,0.7793640851816372,0.8518340365074865,5
53,295,24,41,0.8426150121065376,0.526008786540379,0.7603231998571494,0.8368341823204235,6
50,304,15,44,0.8571428571428571,0.5582887003405638,0.77023752274806,0.8472205945544748,7
50,303,16,44,0.8547215496368039,0.5512538517723977,0.767454954954955,0.8450635865890102,8
49,306,13,45,0.8595641646489104,0.5640598272361499,0.7708189820130118,0.8485141808187596,9
58,301,18,36,0.8692493946731235,0.6065780610599427,0.8000179340028695,0.8641211383271787,10
50,300,19,44,0.847457627118644,0.5309124174245389,0.7592371540404741,0.8386355798108271,11
50,302,17,44,0.8523002421307506,0.544349347434567,0.7646943445570448,0.8429138959621392,12
49,295,24,45,0.8329297820823245,0.49026809730640963,0.7410611250942727,0.825087335754076,13
49,305,14,45,0.8571428571428571,0.5567084164546167,0.7680062456561272,0.846348970595636,14
51,305,14,43,0.8619854721549637,0.5741465568220392,0.7780260812989731,0.8523995574509331,15
51,301,18,43,0.8523002421307506,0.5463929898896854,0.7668804189915702,0.8437582598168326,16
48,299,20,46,0.8401937046004843,0.5064276518551107,0.7465975011155734,0.8304984803351151,17
49,302,17,45,0.8498789346246973,0.5354939292483772,0.7597034534534535,0.8398990394753109,18
51,299,20,43,0.847457627118644,0.5332478546407597,0.7614358410122404,0.8394798001813566,19
54,305,14,40,0.8692493946731235,0.5998558621958615,0.7926706827309238,0.8613169384560033,20
51,301,18,43,0.8523002421307506,0.5463929898896854,0.7668804189915702,0.8437582598168326,21
51,303,16,43,0.8571428571428571,0.560013803990481,0.7724092840797647,0.8480642600289544,22
51,301,18,43,0.8523002421307506,0.5463929898896854,0.7668804189915702,0.8437582598168326,23
50,302,17,44,0.8523002421307506,0.544349347434567,0.7646943445570448,0.8429138959621392,24
53,299,20,41,0.8523002421307506,0.5508230802410031,0.7710830236340672,0.8453670649420092,25
55,296,23,39,0.8498789346246973,0.5495561430351509,0.77236683023967,0.8447329027983054,26
54,300,19,40,0.8571428571428571,0.5659618259746515,0.7785884982690159,0.8504369972389927,27
50,305,14,44,0.8595641646489104,0.5654589493350506,0.773042522549837,0.8493851479313723,28
53,302,17,41,0.8595641646489104,0.5705470637852094,0.7793640851816372,0.8518340365074865,29
48,307,12,46,0.8595641646489104,0.5628290127449439,0.7685335497835497,0.8476141997631101,30
