TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
51,286,33,43,0.8159806295399515,0.45739348594679363,0.7278748786239423,0.8122314486499087,1
55,296,23,39,0.8498789346246973,0.5495561430351509,0.77236683023967,0.8447329027983054,2
51,289,30,43,0.8232445520581114,0.47360815731592176,0.7353609831029186,0.8184441890479539,3
52,296,23,42,0.8426150121065376,0.5232360731972389,0.7582250321976349,0.8360436612119917,4
52,293,26,42,0.8353510895883777,0.5052929914248959,0.750337813811251,0.8297070546820124,5
51,296,23,43,0.8401937046004843,0.5143511190518695,0.753419452887538,0.8331100922157539,6
57,282,37,37,0.8208232445520581,0.4903955179083572,0.7451977589541786,0.8208232445520581,7
54,287,32,40,0.8256658595641646,0.4896166066179789,0.7442724458204335,0.8228712359163112,8
53,290,29,41,0.8305084745762712,0.4970804303012696,0.7472902097902097,0.8262948915491288,9
50,289,30,44,0.8208232445520581,0.46455629299350953,0.7306078555814117,0.8155386610977104,10
55,288,31,39,0.8305084745762712,0.5038388360829688,0.7513759889920881,0.8277914793630804,11
50,289,30,44,0.8208232445520581,0.46455629299350953,0.7306078555814117,0.8155386610977104,12
50,297,22,44,0.8401937046004843,0.5116221448293419,0.7512048192771085,0.8322675690656087,13
54,292,27,40,0.837772397094431,0.5172396917730879,0.7571121351766512,0.8333665844686698,14
52,294,25,42,0.837772397094431,0.5111810185490353,0.7529485290835232,0.8318136956225906,15
50,294,25,44,0.8329297820823245,0.4932767638626403,0.7433465726405664,0.8259540403634991,16
51,296,23,43,0.8401937046004843,0.5143511190518695,0.753419452887538,0.8331100922157539,17
53,290,29,41,0.8305084745762712,0.4970804303012696,0.7472902097902097,0.8262948915491288,18
52,289,30,42,0.8256658595641646,0.4826037207804724,0.74006993006993,0.8213318884505325,19
49,298,21,45,0.8401937046004843,0.5089791136007972,0.7489315452066907,0.8313973518878295,20
55,291,28,39,0.837772397094431,0.5203669834630872,0.7591165896250642,0.8341062365767912,21
49,298,21,45,0.8401937046004843,0.5089791136007972,0.7489315452066907,0.8313973518878295,22
56,286,33,38,0.8280871670702179,0.5020170001818831,0.7508009756180472,0.8264070324734316,23
53,287,32,41,0.8232445520581114,0.4807041836475635,0.7396751660003626,0.8200303449020442,24
52,294,25,42,0.837772397094431,0.5111810185490353,0.7529485290835232,0.8318136956225906,25
49,291,28,45,0.8232445520581114,0.4666977145750042,0.7308245167626445,0.8167522355290909,26
47,289,30,47,0.8135593220338984,0.4370421785923168,0.7160751752153922,0.8067112621334247,27
50,289,30,44,0.8208232445520581,0.46455629299350953,0.7306078555814117,0.8155386610977104,28
57,294,25,37,0.8498789346246973,0.5549872683844581,0.7761713286713287,0.846146903943514,29
53,294,25,41,0.8401937046004843,0.5200473752949809,0.7576808192873906,0.8347156707207768,30
