TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
72,301,18,22,0.9031476997578692,0.7206231296325889,0.860151699851009,0.9023966779254349,1
68,305,14,26,0.9031476997578692,0.7142310731132268,0.8555944055944056,0.9007399380280736,2
67,301,18,27,0.8910411622276029,0.6806776774133173,0.8395257872604975,0.889059801651945,3
65,305,14,29,0.8958837772397095,0.6903682569505355,0.8427975816374403,0.8925658900145677,4
71,308,11,23,0.9176755447941889,0.7576612016756182,0.8772552447552449,0.9156289473238627,5
72,306,13,22,0.9152542372881356,0.752096782329658,0.8751867234248314,0.913713179062624,6
67,303,16,27,0.8958837772397095,0.6932992418982149,0.8454031843862353,0.8935308682507763,7
69,305,14,25,0.9055690072639225,0.7221212849707361,0.8597842835130971,0.9034349735297739,8
74,302,17,20,0.910411622276029,0.742459343559228,0.8711388455538221,0.9098948752138948,9
70,302,17,24,0.9007263922518159,0.7109081702914273,0.8549573857552786,0.8993454308489033,10
71,303,16,23,0.9055690072639225,0.7250700974730961,0.8620326352306308,0.9042554098318835,11
72,303,16,22,0.9079903147699758,0.7329399171841595,0.8661012900143336,0.9069022881529463,12
75,297,22,19,0.9007263922518159,0.720944570551111,0.8603866925011336,0.901271523329528,13
73,301,18,21,0.9055690072639225,0.7285264233079575,0.8641733777459206,0.9050243279281593,14
75,302,17,19,0.9128329297820823,0.7502822535229953,0.8751008064516128,0.9125004881668358,15
76,303,16,18,0.9176755447941889,0.7641608118024326,0.8820396505376343,0.9173615721575672,16
74,303,16,20,0.9128329297820823,0.748599944121991,0.8741365298659082,0.9121570101328916,17
70,299,20,24,0.8934624697336562,0.6926463151431869,0.84616686983611,0.8926363457179787,18
70,304,15,24,0.9055690072639225,0.7235291403631218,0.8609223489590979,0.9038518280983524,19
72,297,22,22,0.8934624697336562,0.6969919295671313,0.8484959647835656,0.8934624697336562,20
65,305,14,29,0.8958837772397095,0.6903682569505355,0.8427975816374403,0.8925658900145677,21
72,300,19,22,0.9007263922518159,0.714593503056687,0.857207909938019,0.9001537806424239,22
68,303,16,26,0.8983050847457628,0.7012880454388905,0.849615064502705,0.8962331689907389,23
69,306,13,25,0.9079903147699758,0.7287077826340239,0.8628146853146853,0.9057029411266699,24
70,303,16,24,0.9031476997578692,0.717172278057816,0.8579291365669075,0.9015951310646172,25
72,301,18,22,0.9031476997578692,0.7206231296325889,0.860151699851009,0.9023966779254349,26
69,305,14,25,0.9055690072639225,0.7221212849707361,0.8597842835130971,0.9034349735297739,27
73,304,15,21,0.9128329297820823,0.7470427957621067,0.8731485905398948,0.9118021677238436,28
74,304,15,20,0.9152542372881356,0.7548278916161142,0.8771554105159387,0.9144260019235225,29
69,304,15,25,0.9031476997578692,0.7156347842325431,0.856776251907338,0.9011744466578465,30
