TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
67,292,27,27,0.8692493946731235,0.6281264590142066,0.8140632295071033,0.8692493946731235,1
68,295,24,26,0.8789346246973365,0.653132345566934,0.8265288978494624,0.8784729002317165,2
68,286,33,26,0.8571428571428571,0.6047587177485864,0.8019667601284084,0.8589145666800184,3
63,299,20,31,0.8765133171912833,0.6356551557531723,0.8166409861325117,0.8737226576927812,4
69,292,27,25,0.87409200968523,0.6446267863309411,0.8222773915921882,0.874556714780235,5
67,300,19,27,0.8886198547215496,0.6745055896628466,0.8366185070519436,0.8868344007243099,6
69,294,25,25,0.8789346246973365,0.6556726472353765,0.8278363236176882,0.8789346246973365,7
65,292,27,29,0.864406779661017,0.611496670728622,0.8057123655913979,0.8638896482595225,8
67,301,18,27,0.8910411622276029,0.6806776774133173,0.8395257872604975,0.889059801651945,9
65,300,19,29,0.8837772397094431,0.6582478290579321,0.8281315022888056,0.8814093359894161,10
67,295,24,27,0.8765133171912833,0.6449289018003345,0.8223805708985117,0.8758010442137469,11
68,294,25,26,0.8765133171912833,0.6474789402006484,0.8237302603499788,0.876279763842428,12
66,298,21,28,0.8813559322033898,0.6542604615647517,0.8266563878538695,0.8797055149169819,13
61,301,18,33,0.8765133171912833,0.6316377167331049,0.8135506200816154,0.8725781486219291,14
69,287,32,25,0.8619854721549637,0.618194185765271,0.8086797513104962,0.8636971237417126,15
69,291,28,25,0.8716707021791767,0.6392087126645917,0.8195242610380509,0.8723753838162189,16
68,297,22,26,0.8837772397094431,0.6646695006537848,0.832182039821211,0.882876013510522,17
67,298,21,27,0.8837772397094431,0.6624255242944237,0.8308647873865265,0.8824028902984582,18
69,295,24,25,0.8813559322033898,0.6613042324301422,0.8306427991597836,0.8811315378093917,19
68,294,25,26,0.8765133171912833,0.6474789402006484,0.8237302603499788,0.876279763842428,20
65,296,23,29,0.87409200968523,0.6342197671385295,0.8167701863354038,0.872603131156663,21
69,291,28,25,0.8716707021791767,0.6392087126645917,0.8195242610380509,0.8723753838162189,22
66,300,19,28,0.8861985472154964,0.6663938564300492,0.8323936000276307,0.8841291261698092,23
65,297,22,29,0.8765133171912833,0.6400985343830827,0.8195811383785172,0.8747955359340015,24
57,302,17,37,0.8692493946731235,0.6047007378943259,0.7982522796352584,0.8634537118128895,25
68,294,25,26,0.8765133171912833,0.6474789402006484,0.8237302603499788,0.876279763842428,26
65,296,23,29,0.87409200968523,0.6342197671385295,0.8167701863354038,0.872603131156663,27
69,289,30,25,0.8668280871670703,0.6285732801573266,0.8140690355163749,0.8680271565227677,28
66,296,23,28,0.8765133171912833,0.6424674954231225,0.8209978838946536,0.8753064599457042,29
66,280,39,28,0.837772397094431,0.5583677871401235,0.7782292643440487,0.8408330254133758,30
