TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
70,287,32,24,0.864406779661017,0.6264876715186827,0.8126984126984127,0.866313078903878,1
65,286,33,29,0.8498789346246973,0.5795602945104507,0.7896457676130388,0.8509691276927817,2
71,284,35,23,0.8595641646489104,0.6197285888091559,0.8086741214057508,0.8624312093386659,3
70,286,33,24,0.8619854721549637,0.6214059192703357,0.8100199333403274,0.8641507029389067,4
68,291,28,26,0.8692493946731235,0.6309549913966896,0.815441906653426,0.8697319730410131,5
69,286,33,25,0.8595641646489104,0.6130967488224185,0.8060090702947846,0.861538546007588,6
72,283,36,22,0.8595641646489104,0.6231324022610242,0.8099612845899974,0.8628553510035301,7
72,277,42,22,0.8450363196125908,0.59492637694424,0.7943739108787653,0.8499789936354031,8
69,286,33,25,0.8595641646489104,0.6130967488224185,0.8060090702947846,0.861538546007588,9
69,281,38,25,0.847457627118644,0.5884715804042746,0.7928835820895522,0.8508041487477864,10
67,286,33,27,0.8547215496368039,0.5963907246873679,0.7978924703118883,0.8562785107141989,11
69,285,34,25,0.8571428571428571,0.6080586837461704,0.8033539660891109,0.8593840609367631,12
68,289,30,26,0.864406779661017,0.6202836657404427,0.810002628811777,0.8653914701741253,13
70,289,30,24,0.8692493946731235,0.6368333993022028,0.8181032232806995,0.870650659642779,14
72,283,36,22,0.8595641646489104,0.6231324022610242,0.8099612845899974,0.8628553510035301,15
68,291,28,26,0.8692493946731235,0.6309549913966896,0.815441906653426,0.8697319730410131,16
66,288,31,28,0.8571428571428571,0.598340783721332,0.7990930453065095,0.8579273140595645,17
70,289,30,24,0.8692493946731235,0.6368333993022028,0.8181032232806995,0.870650659642779,18
67,287,32,27,0.8571428571428571,0.6015188520707261,0.8005467835539295,0.8584291315426055,19
68,283,36,26,0.8498789346246973,0.5897741400943989,0.7940712861095027,0.8524746392067994,20
69,280,39,25,0.8450363196125908,0.5837093504635665,0.7903021071337903,0.8486679735211368,21
70,289,30,24,0.8692493946731235,0.6368333993022028,0.8181032232806995,0.870650659642779,22
68,287,32,26,0.8595641646489104,0.6098716162256462,0.8046293879681587,0.8610692270237257,23
70,286,33,24,0.8619854721549637,0.6214059192703357,0.8100199333403274,0.8641507029389067,24
71,279,40,23,0.847457627118644,0.5957783775375866,0.7956168257334747,0.8516946156933936,25
69,282,37,25,0.8498789346246973,0.593286323487788,0.795479233226837,0.8529437065344359,26
71,283,36,23,0.8571428571428571,0.6148329625515674,0.8060338308457712,0.8602769012082445,27
70,287,32,24,0.864406779661017,0.6264876715186827,0.8126984126984127,0.866313078903878,28
71,288,31,23,0.8692493946731235,0.6398785942149467,0.8193877551020408,0.871087611800168,29
73,285,34,21,0.8668280871670703,0.6411943446988602,0.81918407960199,0.8697496536687026,30
