TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
63,290,23,37,0.8547215496368039,0.5871214515874708,0.7918346774193549,0.8508430641255956,1
62,301,23,27,0.8789346246973365,0.636277715889538,0.8179782807982512,0.877914434841285,2
75,274,30,34,0.8450363196125908,0.5965985516890245,0.7981797080202797,0.8440944781735494,3
59,300,23,31,0.8692493946731235,0.6047463388631653,0.8017388521442286,0.867008380813243,4
63,312,11,27,0.9079903147699758,0.7168770793947855,0.8554454351190037,0.904613936961078,5
59,301,16,37,0.8716707021791767,0.6180735770405004,0.8045712244989063,0.8658480202317153,6
67,293,15,38,0.8716707021791767,0.6433610291683997,0.816817721540174,0.8660883191937915,7
66,302,17,28,0.8910411622276029,0.6788882203619543,0.8382126348228043,0.8885788156112775,8
67,290,22,34,0.864406779661017,0.6197519121870528,0.808606421714664,0.8614040698163702,9
56,307,23,27,0.8789346246973365,0.6164046725242129,0.8080284099360404,0.8778046451792283,10
71,301,21,20,0.9007263922518159,0.7122126693860084,0.8560963380329568,0.900920435965811,11
73,288,24,28,0.87409200968523,0.6548467879529475,0.8272855948015183,0.8732211926641378,12
70,297,18,28,0.8886198547215496,0.682723873987052,0.8404065860215053,0.8864959221796974,13
77,294,20,22,0.8983050847457628,0.7191210760648974,0.8595238095238096,0.8979476536377262,14
56,299,29,29,0.8595641646489104,0.5704088952654233,0.7852044476327116,0.8595641646489104,15
62,301,17,33,0.8789346246973365,0.6411216262213014,0.8179782807982512,0.8748538652731299,16
60,306,19,28,0.8861985472154964,0.6489822664591944,0.8236213460787075,0.8839091374178089,17
68,296,18,31,0.8813559322033898,0.6618892115485413,0.829346038706413,0.8783904558197901,18
56,308,16,33,0.8813559322033898,0.6283843017129878,0.8109839816933637,0.8766086180816817,19
69,298,18,28,0.8886198547215496,0.6802832724609909,0.8391744548286604,0.8864606669533012,20
68,286,20,39,0.8571428571428571,0.6100454236779104,0.8019667601284083,0.8523339312562767,21
67,289,14,43,0.8619854721549637,0.62665249815953,0.8059034505503566,0.8546594423057132,22
66,295,23,29,0.87409200968523,0.6370657762019585,0.8181972098063118,0.8726275171119833,23
68,288,27,30,0.8619854721549637,0.6147706650728648,0.8073079095351521,0.8612398690283299,24
75,283,25,30,0.8668280871670703,0.6435491690348432,0.821570244687954,0.8657401582613222,25
61,306,17,29,0.8886198547215496,0.659377928531667,0.8281408308004052,0.8856576168152079,26
60,304,23,26,0.8813559322033898,0.6356655855032153,0.8177388704259094,0.8805737552143225,27
71,295,19,28,0.8861985472154964,0.6790502264005781,0.838769695912553,0.8842929237256459,28
66,290,18,39,0.8619854721549637,0.6167458144781458,0.8044653758939473,0.8565929631304934,29
80,288,14,31,0.8910411622276029,0.7130163588657251,0.8540120183810533,0.8880147418170675,30
