TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
57,311,11,34,0.8910411622276029,0.6618535930468022,0.8247574326044524,0.8850390922223571,1
64,311,8,30,0.9079903147699758,0.7247181858467208,0.8567542898868199,0.9034267821892898,2
64,306,22,21,0.8958837772397095,0.682910558158051,0.8414445783670372,0.896108732606952,3
61,311,19,22,0.9007263922518159,0.6868327862313275,0.8433130685025308,0.9000374323668248,4
58,314,11,30,0.9007263922518159,0.6863241917968859,0.8387840012186646,0.8961291054173243,5
74,290,13,36,0.8813559322033898,0.6827594730243797,0.8366838023451937,0.8765991776351558,6
68,297,14,34,0.8837772397094431,0.6720563781672941,0.8321820398212109,0.8792711087148376,7
75,295,20,23,0.8958837772397095,0.7094389293066803,0.8546357914037113,0.8953213047055821,8
63,310,18,22,0.9031476997578692,0.6987918539462642,0.8492150419861264,0.9022742963931447,9
66,306,14,27,0.9007263922518159,0.7038437368371742,0.8501093220263967,0.8979846342812725,10
74,292,24,23,0.8861985472154964,0.6845074019392456,0.8422447072209354,0.8864001703347375,11
69,309,9,26,0.9152542372881356,0.7505328931131661,0.8720445431932653,0.9121935506230823,12
72,302,8,31,0.9055690072639225,0.7370400437029436,0.8631160288606176,0.9013237094235921,13
80,291,10,32,0.8983050847457628,0.7334273629163468,0.8623857578065498,0.8945599416525746,14
58,307,20,28,0.8837772397094431,0.6362027982342947,0.8174047601503205,0.8816447905669812,15
68,309,15,21,0.9128329297820823,0.7364510320396647,0.8678259014294858,0.911712422852142,16
73,289,20,31,0.8765133171912833,0.6621463013494535,0.8300178350939771,0.8741454917141056,17
62,312,16,23,0.9055690072639225,0.7030538358851549,0.8509563334536268,0.9040398523972342,18
68,312,8,25,0.9200968523002422,0.7612229087596986,0.8772527086541839,0.9171118095052299,19
69,306,12,26,0.9079903147699758,0.7298240625653719,0.8628146853146854,0.9053217121861191,20
77,290,13,33,0.8886198547215496,0.7035966653336596,0.8482587859424922,0.8848300830052064,21
73,302,18,20,0.9079903147699758,0.7343690377640012,0.8671441148584587,0.9076335793995695,22
83,285,11,34,0.8910411622276029,0.7224429812181133,0.8567795630562941,0.8871400890546322,23
55,312,17,29,0.8886198547215496,0.6398473943355634,0.8182357443551473,0.8853334371168927,24
70,308,8,27,0.9152542372881356,0.754182930815022,0.8731182795698924,0.9118904423442422,25
62,306,19,26,0.8910411622276029,0.6662855504056849,0.8326173299829781,0.8893650686796015,26
64,297,10,42,0.87409200968523,0.6505712011815906,0.8153078775369798,0.8660186524803203,27
70,305,13,25,0.9079903147699758,0.7309112150288117,0.8639374393119712,0.90574080623595,28
71,302,12,28,0.9031476997578692,0.7233150413303063,0.8590539894887721,0.9000935899556808,29
55,302,22,34,0.864406779661017,0.5807315697871163,0.7889010587805769,0.8607384855291738,30
