TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
61,305,10,37,0.8861985472154964,0.6660321991373959,0.8251781002044437,0.8794462846364045,1
65,304,14,30,0.8934624697336562,0.6850059251488851,0.8398208871024611,0.8898714014403545,2
63,293,17,40,0.8619854721549637,0.6095941076011646,0.7999388114116717,0.8557808060806343,3
55,300,13,45,0.8595641646489104,0.5873141580954676,0.783308004052685,0.849604176326138,4
57,307,15,34,0.8813559322033898,0.6333966274574387,0.8127400086981466,0.8761411220169913,5
63,303,18,29,0.8861985472154964,0.6588457613116178,0.8281741008595278,0.883539093424181,6
70,295,13,35,0.8837772397094431,0.6785437171705364,0.8347228706729807,0.8789808125147667,7
68,289,17,39,0.864406779661017,0.6284968533804408,0.8100026288117771,0.8589909818389208,8
74,289,8,42,0.8789346246973365,0.6883732062587373,0.8339284565399214,0.8718173701980244,9
69,301,15,28,0.8958837772397095,0.6991591912680778,0.8478821362799263,0.8931940301169627,10
65,298,17,33,0.8789346246973365,0.6497951546863628,0.8224114207086344,0.8750532029642069,11
62,305,15,31,0.8886198547215496,0.6647329317709542,0.829644906743185,0.884736730574826,12
53,312,14,34,0.8837772397094431,0.6263277643168514,0.8084415584415584,0.87795981258451,13
60,304,15,34,0.8813559322033898,0.6430733105356333,0.8177388704259094,0.876402144605963,14
66,306,15,26,0.9007263922518159,0.7028113937920989,0.8501093220263967,0.8984064431998176,15
61,296,11,45,0.864406779661017,0.6212747236002242,0.7994867526702732,0.8550140949049093,16
64,304,13,32,0.8910411622276029,0.6785575626305714,0.835485841248484,0.8866430326500891,17
63,291,16,43,0.8571428571428571,0.6021611927559385,0.7945186996669056,0.8497268384943893,18
67,301,12,33,0.8910411622276029,0.687970297367917,0.8395257872604975,0.8864179875510678,19
58,319,10,26,0.9128329297820823,0.7164252031285342,0.8548727159144153,0.9092798132231451,20
59,300,13,41,0.8692493946731235,0.6192682306599541,0.8017388521442286,0.8614058461635423,21
68,299,15,31,0.8886198547215496,0.6808537821524304,0.8379120879120879,0.8851076284490327,22
64,293,20,36,0.864406779661017,0.613103983583956,0.8042123797914127,0.8602010573993852,23
68,312,11,22,0.9200968523002422,0.7573069957867404,0.8772527086541839,0.9181653540211167,24
65,303,10,35,0.8910411622276029,0.6867640980011397,0.8368663594470047,0.8853505316834225,25
60,307,12,34,0.8886198547215496,0.6638336026988982,0.8265972982840454,0.8830955784396668,26
69,294,22,28,0.8789346246973365,0.6563361413423491,0.8278363236176882,0.8775720033352126,27
54,312,17,30,0.8861985472154964,0.6306945415409383,0.8133647420797077,0.8825286268016775,28
71,305,10,27,0.910411622276029,0.7422144214379714,0.8680545361919647,0.9073343980733406,29
66,301,14,32,0.8886198547215496,0.6771253479467965,0.8352926896934387,0.8845352208045029,30
