TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
65,295,19,34,0.8716707021791767,0.6321672134771263,0.8139781930669931,0.867908147237078,1
72,288,24,29,0.8716707021791767,0.6471343988864798,0.8233518678427607,0.8705522106436117,2
76,287,21,29,0.8789346246973365,0.6734384318508105,0.8361735211982737,0.8773133506310214,3
60,306,19,28,0.8861985472154964,0.6489822664591944,0.8236213460787075,0.8839091374178089,4
62,311,17,23,0.9031476997578692,0.6965010640856794,0.8478373001252671,0.9018149190438306,5
70,290,22,31,0.8716707021791767,0.6430878677439839,0.8208301614975976,0.8695908618785668,6
65,294,25,29,0.8692493946731235,0.6227042789196817,0.8112047947988623,0.8682355151993373,7
66,300,14,33,0.8861985472154964,0.6719887838450219,0.8323936000276306,0.881829769452379,8
79,287,25,22,0.8861985472154964,0.6952005804894694,0.8475236636424335,0.8867563580362615,9
63,300,23,27,0.8789346246973365,0.6393031068612073,0.819493006993007,0.8779313906432551,10
61,295,23,34,0.8619854721549637,0.5957219660229762,0.7967326638632969,0.8589180324489452,11
64,294,22,33,0.8668280871670703,0.6161494376813214,0.8069585022393324,0.8639647591922653,12
62,302,14,35,0.8813559322033898,0.6507749020029422,0.8208623604705716,0.8760627446767681,13
68,285,30,30,0.8547215496368039,0.5986394557823129,0.7993197278911565,0.8547215496368039,14
74,291,17,31,0.8837772397094431,0.6824100209157026,0.8394557823129252,0.8809177908451515,15
56,302,19,36,0.8668280871670703,0.5931022714970448,0.7935994475389132,0.8617675714204092,16
63,297,20,33,0.8716707021791767,0.6252302794956723,0.8109970383290304,0.8682999430763907,17
68,299,24,22,0.8886198547215496,0.6759023740969401,0.8379120879120879,0.8890588830056143,18
66,299,21,27,0.8837772397094431,0.6597345873545345,0.829514963880289,0.8823799278855163,19
73,289,26,25,0.8765133171912833,0.6600530784334483,0.8300178350939772,0.8767285740528448,20
60,290,27,36,0.847457627118644,0.5591792151771567,0.7788797389286899,0.8447741445372982,21
53,309,28,23,0.8765133171912833,0.5994848949731848,0.7994630259061437,0.8780182056929462,22
67,305,19,22,0.9007263922518159,0.7029240114413351,0.8513671274961598,0.9001042166456522,23
62,299,20,32,0.87409200968523,0.6273708159884439,0.8122727272727273,0.8709619194364958,24
75,285,19,34,0.8716707021791767,0.6576109595835955,0.8269220125089943,0.8684743672027353,25
59,305,19,30,0.8813559322033898,0.6347980346235476,0.8161158714437589,0.878438693714138,26
57,307,17,32,0.8813559322033898,0.6303976372297124,0.8127400086981466,0.8772389767930753,27
75,285,23,30,0.8716707021791767,0.6546621051732099,0.8269220125089942,0.8701790791901706,28
65,289,24,35,0.8571428571428571,0.5973155012108199,0.7976045118902262,0.8542190991170583,29
57,316,18,22,0.9031476997578692,0.6811324023771808,0.8403679653679654,0.9021781285703804,30
