TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
76,294,16,27,0.8958837772397095,0.7135692557167473,0.8556706895851112,0.8938546764864957,1
71,304,14,24,0.9079903147699758,0.7321436673907328,0.8650326797385621,0.9061466394467392,2
59,308,10,36,0.8886198547215496,0.665171383664493,0.8250128951440572,0.8819781641632572,3
68,305,14,26,0.9031476997578692,0.7142310731132268,0.8555944055944056,0.9007399380280736,4
75,289,17,32,0.8813559322033898,0.6795493760721583,0.837809461982961,0.8783036095243878,5
70,305,11,27,0.9079903147699758,0.7332853875396061,0.8639374393119711,0.9049909700579414,6
70,306,9,28,0.910411622276029,0.7416939441364888,0.8669748330765279,0.9069145926370861,7
76,296,11,30,0.9007263922518159,0.7296200874028952,0.861396917384934,0.8973297557860398,8
78,304,13,18,0.9249394673123487,0.7862256688502817,0.8928556484480262,0.9242296483109256,9
62,307,14,30,0.8934624697336562,0.6768174278425919,0.835612968591692,0.8896845431284667,10
60,309,21,23,0.8934624697336562,0.6653314158931289,0.8326210301377939,0.892973783471842,11
59,306,10,38,0.8837772397094431,0.6552419220138421,0.8190580503833517,0.8764406514457568,12
74,303,14,22,0.9128329297820823,0.7495818134881932,0.8741365298659083,0.9114810904837006,13
70,301,10,32,0.8983050847457628,0.7137904126782493,0.8520066889632107,0.8938957137188529,14
76,304,11,22,0.9200968523002422,0.7726405181973675,0.8850697811696251,0.9184069497456948,15
55,326,13,19,0.9225181598062954,0.7289139033555392,0.8639321307964747,0.9212210521529415,16
74,298,14,27,0.9007263922518159,0.7219681993749327,0.8593522879237165,0.898325216554203,17
82,291,15,25,0.9031476997578692,0.7413879742849924,0.8698064434777126,0.9015524243377661,18
71,302,14,26,0.9031476997578692,0.7210304518680256,0.8590539894887721,0.9008571174062278,19
62,306,14,31,0.8910411622276029,0.6714669909872142,0.832617329982978,0.8869706493253133,20
68,310,11,24,0.9152542372881356,0.7456998750007694,0.870943261461542,0.9128738956115003,21
71,303,17,22,0.9055690072639225,0.7245776915465476,0.8620326352306309,0.9046307233838947,22
70,308,6,29,0.9152542372881356,0.7579235378139915,0.8731182795698924,0.911182274987633,23
72,299,14,28,0.8983050847457628,0.7124059360900615,0.8542842741935484,0.8955901448879169,24
73,299,10,31,0.9007263922518159,0.7252534349269972,0.8582929543990024,0.8967834621858467,25
71,294,22,26,0.8837772397094431,0.6721913996034432,0.8359483614697121,0.8829193226109726,26
67,304,16,26,0.8983050847457628,0.6988338877579897,0.8483741258741259,0.8961982932321916,27
80,289,19,25,0.8934624697336562,0.7142000822937945,0.856787087825484,0.8924095879563881,28
61,304,18,30,0.8837772397094431,0.6474907868325803,0.8222381635581062,0.8807382729859203,29
57,307,19,30,0.8813559322033898,0.6281178450952282,0.8127400086981466,0.8783368315691591,30
