TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
71,302,24,16,0.9031476997578692,0.7194048019652104,0.8590539894887721,0.9046747546589635,1
75,298,15,25,0.9031476997578692,0.7285077883329031,0.8632903012247599,0.901360372469389,2
78,300,16,19,0.9152542372881356,0.7618124994943707,0.8808179082326751,0.9147888814900887,3
72,295,22,24,0.8886198547215496,0.6856421711336954,0.842783846408474,0.8882087694451993,4
76,285,17,35,0.87409200968523,0.6669296710009299,0.8307483765210265,0.8703590652021888,5
80,287,23,23,0.8886198547215496,0.7025054807391168,0.8512527403695584,0.8886198547215496,6
67,291,26,29,0.8668280871670703,0.6228126057460577,0.8113262398976684,0.8660847588554264,7
71,303,25,14,0.9055690072639225,0.7265501547305345,0.8620326352306309,0.9076332317999839,8
76,300,19,18,0.910411622276029,0.7461677018870253,0.8730740159311589,0.9105783080186401,9
74,298,21,20,0.9007263922518159,0.7187238279107726,0.8593522879237165,0.9009110980747093,10
69,299,18,27,0.8910411622276029,0.6856991289106296,0.8420569563776357,0.8891243889552128,11
72,305,19,17,0.9128329297820823,0.7443563620265626,0.8721362229102165,0.9131822577380638,12
77,304,14,18,0.9225181598062954,0.7782865876675441,0.8889784946236559,0.9219271524903018,13
78,298,21,16,0.910411622276029,0.7503182065470293,0.8749191693473795,0.9112182689334984,14
80,290,20,23,0.8958837772397095,0.71931452878019,0.8595782365639011,0.8953651266586266,15
76,305,13,19,0.9225181598062954,0.7769945990341708,0.8881213598808073,0.9216169336073744,16
76,283,26,28,0.8692493946731235,0.6508326823950938,0.8253836517381772,0.8688255710698873,17
70,297,24,22,0.8886198547215496,0.6808894621258087,0.8404065860215055,0.8890446412299201,18
75,299,18,21,0.9055690072639225,0.7326014788925643,0.8662131519274376,0.905041919915666,19
72,303,18,20,0.9079903147699758,0.7322844545861416,0.8661012900143334,0.907627639230966,20
70,308,15,20,0.9152542372881356,0.7467828910056077,0.8731182795698924,0.9143690280923742,21
70,305,10,28,0.9079903147699758,0.7347322629127099,0.8639374393119712,0.9046160519689372,22
75,297,22,19,0.9007263922518159,0.720944570551111,0.8603866925011336,0.901271523329528,23
66,307,18,22,0.9031476997578692,0.7066263408601333,0.8531398904772065,0.9023176946245803,24
71,301,22,19,0.9007263922518159,0.712372644013151,0.8560963380329568,0.9013085233938011,25
77,296,24,16,0.9031476997578692,0.7317262723307957,0.8652616468745922,0.904531665159998,26
72,300,23,18,0.9007263922518159,0.714909534970097,0.8572079099380192,0.9016807449341361,27
65,294,29,25,0.8692493946731235,0.6227042789196817,0.8112047947988623,0.8702632741469097,28
77,298,18,20,0.9079903147699758,0.7422232471099268,0.8710732124079916,0.9076562233458855,29
56,316,17,24,0.9007263922518159,0.6723211213001046,0.8355524478241023,0.8989717091326084,30
