TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
84,277,12,40,0.87409200968523,0.6900510152830989,0.8389138913891389,0.8689884484816519,1
69,298,19,27,0.8886198547215496,0.6795860440727497,0.8391744548286605,0.8868925045069509,2
69,306,15,23,0.9079903147699758,0.7269952351855556,0.8628146853146854,0.9064653990077719,3
65,294,20,34,0.8692493946731235,0.6260319944802035,0.8112047947988622,0.8657008165148716,4
63,307,9,34,0.8958837772397095,0.6938730742174705,0.8400565597615124,0.8901637754489105,5
53,312,16,32,0.8837772397094431,0.6229035197967976,0.8084415584415585,0.8791232980094965,6
64,302,11,36,0.8861985472154964,0.6721022436473288,0.829615975422427,0.8802549997582412,7
71,302,12,28,0.9031476997578692,0.7233150413303063,0.8590539894887721,0.9000935899556808,8
55,306,16,36,0.87409200968523,0.6093536207338377,0.800349546333482,0.8682161161910668,9
63,304,12,34,0.8886198547215496,0.6724250521276072,0.8311108740487874,0.8833700722534966,10
59,313,7,34,0.9007263922518159,0.6982479612733057,0.8403345497062789,0.8943067869418574,11
60,294,13,46,0.8571428571428571,0.5996496051086441,0.7896004766304301,0.8476176496346943,12
75,294,11,33,0.8934624697336562,0.7125487459773231,0.8517878115620514,0.8892759743922165,13
64,293,17,39,0.864406779661017,0.6173103353151328,0.8042123797914127,0.8586239115512734,14
62,313,12,26,0.9079903147699758,0.712850063617491,0.8541015915513909,0.9049845692518077,15
68,299,15,31,0.8886198547215496,0.6808537821524304,0.8379120879120879,0.8851076284490327,16
75,294,18,26,0.8934624697336562,0.7047534991718686,0.8517878115620514,0.8919401077913144,17
59,303,16,35,0.8765133171912833,0.628093655868334,0.810299640647375,0.8713573341817166,18
63,311,10,29,0.9055690072639225,0.7129802375729575,0.8523174253885297,0.9014892489750819,19
61,302,19,31,0.8789346246973365,0.63578586666722,0.816424863096508,0.8758221054475027,20
59,315,15,24,0.9055690072639225,0.6952737163025405,0.8466481962811687,0.9034975725028102,21
66,298,13,36,0.8813559322033898,0.663642467264966,0.8266563878538695,0.8759331325480494,22
67,298,17,31,0.8837772397094431,0.6655305764055379,0.8308647873865265,0.880570424417145,23
64,302,11,36,0.8861985472154964,0.6721022436473288,0.829615975422427,0.8802549997582412,24
62,307,11,33,0.8934624697336562,0.6818538981980309,0.835612968591692,0.8882678206515205,25
56,311,16,30,0.8886198547215496,0.6445317344740304,0.8199992420222846,0.884852448534139,26
61,296,13,43,0.864406779661017,0.6162429636717807,0.7994867526702734,0.8561191166409221,27
61,307,13,32,0.8910411622276029,0.6701621415080603,0.8311268207136562,0.8864136317854687,28
70,300,15,28,0.8958837772397095,0.7015048387127819,0.8490766472052962,0.89323815684646,29
71,298,16,28,0.8934624697336562,0.6974759726856679,0.8473454301075269,0.8910245645551824,30
