TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
67,302,18,26,0.8934624697336562,0.6862082622979144,0.8424538770980718,0.8917260070056362,1
71,294,19,29,0.8837772397094431,0.6737412415148847,0.8359483614697121,0.8816324469632669,2
69,298,15,31,0.8886198547215496,0.6833158140021497,0.8391744548286604,0.8851651542923521,3
63,307,16,27,0.8958837772397095,0.6827461611200284,0.8400565597615124,0.8933669764517578,4
63,302,20,28,0.8837772397094431,0.651820752177141,0.8252591495663212,0.8818184751858241,5
67,300,17,29,0.8886198547215496,0.67609591077298,0.8366185070519435,0.88594167372569,6
75,295,19,24,0.8958837772397095,0.7097365644171284,0.8546357914037113,0.8949463230161641,7
75,286,16,36,0.87409200968523,0.6660273847830366,0.8296204620462045,0.8698766971128105,8
72,301,11,29,0.9031476997578692,0.7268167042466055,0.860151699851009,0.899768101511915,9
68,300,15,30,0.8910411622276029,0.6860860186091045,0.8408068868045742,0.887793256489045,10
74,288,26,25,0.8765133171912833,0.6623961004858183,0.8311894400230819,0.8767251110098263,11
67,297,12,37,0.8813559322033898,0.6681108839239895,0.8280175747223144,0.8755582846510991,12
72,302,13,26,0.9055690072639225,0.7296604750964922,0.8631160288606174,0.9031694910933009,13
71,290,24,28,0.87409200968523,0.6499619666047339,0.8248401409369699,0.8731924321738462,14
63,297,19,34,0.8716707021791767,0.6263075317203443,0.8109970383290304,0.8677813647528854,15
49,313,24,27,0.8765133171912833,0.5825988132971933,0.7911928861043093,0.8755437668380222,16
58,305,19,31,0.8789346246973365,0.6260932149117057,0.8115188024826578,0.8756593620796194,17
63,297,20,33,0.8716707021791767,0.6252302794956723,0.8109970383290304,0.8682999430763907,18
63,303,18,29,0.8861985472154964,0.6588457613116178,0.8281741008595278,0.883539093424181,19
59,297,28,29,0.8619854721549637,0.5867471601602069,0.7933640552995391,0.8616971468740585,20
67,297,20,29,0.8813559322033898,0.6575835925254133,0.8280175747223142,0.8792687790845651,21
63,298,22,30,0.87409200968523,0.6288564435527887,0.8138091274795395,0.8720398264612065,22
72,288,16,37,0.8716707021791767,0.6543538400924591,0.8233518678427607,0.8669730377298028,23
58,307,23,25,0.8837772397094431,0.634896473791577,0.8174047601503206,0.8832441274238276,24
62,303,17,31,0.8837772397094431,0.651589003167052,0.8237678685726477,0.8802912181496293,25
72,293,14,34,0.8837772397094431,0.6816217478943489,0.8371451104100947,0.8795571375104071,26
67,302,17,27,0.8934624697336562,0.6869413066452377,0.8424538770980718,0.8912918913236313,27
64,300,23,26,0.8813559322033898,0.6478413997982057,0.8238315356959425,0.8806246898749053,28
68,301,17,27,0.8934624697336562,0.6894513667555145,0.8437220502235983,0.8913276877804348,29
65,298,20,30,0.8789346246973365,0.6467590661202962,0.8224114207086344,0.8765087361141306,30
