TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
67,296,24,26,0.8789346246973365,0.6504546932293154,0.8251896248137613,0.8784652360520652,1
67,292,32,22,0.8692493946731235,0.6299292266258129,0.8140632295071033,0.8717021131249466,2
71,296,27,19,0.8886198547215496,0.6844261290583408,0.8416094177282732,0.890291336925755,3
80,285,19,29,0.8837772397094431,0.6932310935357011,0.8457804331590739,0.8819237369508885,4
75,297,16,25,0.9007263922518159,0.7223160430797421,0.8603866925011338,0.8990909990186803,5
77,293,26,17,0.8958837772397095,0.7148365679394921,0.8566817040988435,0.8975171969539122,6
76,291,25,21,0.8886198547215496,0.6947129028445406,0.8472141800167278,0.8893901928555928,7
74,289,21,29,0.8789346246973365,0.6689721189716703,0.8339284565399216,0.8772599765798514,8
74,289,25,25,0.8789346246973365,0.667856913079843,0.8339284565399215,0.8789346246973365,9
71,292,28,22,0.8789346246973365,0.6613673363978059,0.8303594900105153,0.8802534066345353,10
68,307,20,18,0.9079903147699758,0.7234134379988323,0.8616634934066708,0.9083779869152753,11
80,280,26,27,0.8716707021791767,0.6647295454151854,0.8323568381468802,0.8714741328590154,12
75,293,20,25,0.8910411622276029,0.6983701062247295,0.8489576984030233,0.8900759451674061,13
60,309,19,25,0.8934624697336562,0.6660468859619817,0.8326210301377939,0.8919964109482137,14
72,302,20,19,0.9055690072639225,0.7262522776365177,0.8631160288606174,0.9057535854308935,15
67,296,32,18,0.8789346246973365,0.6540896411129028,0.8251896248137613,0.8822203452142364,16
75,285,26,27,0.8716707021791767,0.653860707926164,0.8269220125089942,0.8714576131807472,17
68,301,25,19,0.8934624697336562,0.6881657852026508,0.8437220502235983,0.8947433389055891,18
75,280,31,27,0.8595641646489104,0.6275563802908444,0.813651356733881,0.8604600243155451,19
84,283,28,18,0.8886198547215496,0.7115190227255783,0.8549416651395761,0.8903122260573273,20
67,299,29,18,0.8861985472154964,0.6698350928009951,0.8337316373292218,0.8886862024256215,21
66,296,32,19,0.8765133171912833,0.6451935659453614,0.8209978838946537,0.8796511460297884,22
69,291,28,25,0.8716707021791767,0.6392087126645917,0.8195242610380509,0.8723753838162189,23
72,300,22,19,0.9007263922518159,0.714593503056687,0.857207909938019,0.901299003861208,24
71,306,21,15,0.9128329297820823,0.7429633994128263,0.8710986267166043,0.9138984864560945,25
78,290,26,19,0.8910411622276029,0.7049812886318259,0.8520597014925374,0.8923282859311191,26
72,298,23,20,0.8958837772397095,0.7029343585162086,0.8513804155891977,0.8964745298279907,27
68,302,27,16,0.8958837772397095,0.6957761229841348,0.8466579744933643,0.8981978107021444,28
73,283,39,18,0.8619854721549637,0.6349716948739277,0.8138595228870318,0.8667980670817571,29
72,288,30,23,0.8716707021791767,0.6475481738955421,0.8233518678427606,0.873236590328968,30
