TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
54,303,19,37,0.864406779661017,0.5806500977964982,0.786972220175374,0.8588091006620548,1
64,301,13,35,0.8837772397094431,0.6632362938848626,0.8267132867132868,0.8784801639038927,2
63,305,12,33,0.8910411622276029,0.677551502669376,0.834069907593411,0.8860973756684375,3
68,305,15,25,0.9031476997578692,0.7132995250697404,0.8555944055944056,0.9011412316497062,4
58,300,22,33,0.8668280871670703,0.596793459528794,0.7971965537252801,0.8636630174651707,5
68,303,16,26,0.8983050847457628,0.7012880454388905,0.849615064502705,0.8962331689907389,6
58,302,18,35,0.8716707021791767,0.6116297124722245,0.8028604108688409,0.8668765425387024,7
60,305,20,28,0.8837772397094431,0.6426928800400219,0.8206686930091185,0.8817165524702488,8
53,307,19,34,0.8716707021791767,0.592117861492029,0.7936031984007996,0.8670604165229735,9
59,311,14,29,0.8958837772397095,0.6734589858135333,0.8341288002615233,0.8922078857529127,10
61,302,17,33,0.8789346246973365,0.6380824462556608,0.8164248630965081,0.8747845990308915,11
48,313,19,33,0.87409200968523,0.5766137608877542,0.7859762417284542,0.869436837038457,12
55,297,17,44,0.8523002421307506,0.5642046697515671,0.7750725414044015,0.8436839284133479,13
55,305,19,34,0.8716707021791767,0.5996864341420249,0.7974534787959544,0.8672176687761834,14
60,301,10,42,0.87409200968523,0.639178591474051,0.8090818576203684,0.8654599562990244,15
56,309,16,32,0.8837772397094431,0.6336887123822551,0.813963963963964,0.8793621708875947,16
63,303,11,36,0.8861985472154964,0.6693925516969285,0.8281741008595278,0.8801543340534164,17
63,311,14,25,0.9055690072639225,0.7074158106507941,0.8523174253885297,0.9032070419388043,18
70,299,15,29,0.8934624697336562,0.6961761110619518,0.84616686983611,0.8905710356787844,19
53,309,15,36,0.8765133171912833,0.6088935931838674,0.7994630259061437,0.8701927854842991,20
67,293,15,38,0.8716707021791767,0.6433610291683997,0.816817721540174,0.8660883191937915,21
49,307,19,38,0.8619854721549637,0.5551890788536408,0.7736551127349647,0.8554805232054288,22
66,297,17,33,0.8789346246973365,0.6525462760338464,0.823817486860965,0.8751169874446009,23
58,300,14,41,0.8668280871670703,0.6090529141746244,0.7971965537252801,0.8590592797169532,24
57,306,14,36,0.8789346246973365,0.630091234103599,0.809796625156584,0.8728260464246597,25
58,300,24,31,0.8668280871670703,0.595363602626947,0.7971965537252801,0.8648139519022251,26
62,296,15,40,0.8668280871670703,0.6196579237900192,0.8038648510961637,0.8601012457065034,27
67,305,19,22,0.9007263922518159,0.7029240114413351,0.8513671274961598,0.9001042166456522,28
58,302,18,35,0.8716707021791767,0.6116297124722245,0.8028604108688409,0.8668765425387024,29
73,289,17,34,0.8765133171912833,0.6650910038263949,0.8300178350939772,0.872853950544736,30
