TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
73,287,28,25,0.8716707021791767,0.6492921840500309,0.8245694180632028,0.8723310005546344,1
73,278,29,33,0.8498789346246973,0.6018478264982422,0.8007997261638038,0.8489212915327774,2
66,284,35,28,0.847457627118644,0.5778877817152173,0.7885407777642326,0.8493494525566296,3
73,282,32,26,0.8595641646489104,0.6230209064089917,0.8112193430426833,0.8609520542644001,4
69,296,26,22,0.8837772397094431,0.6672372317488378,0.8334677419354839,0.8846637506834336,5
70,285,34,24,0.8595641646489104,0.6163829143853085,0.807357009586309,0.8619924044192641,6
70,283,32,28,0.8547215496368039,0.6044143816751842,0.802076677316294,0.8557101857367196,7
71,279,32,31,0.847457627118644,0.591249307726162,0.7956168257334748,0.8477068617406882,8
77,280,27,29,0.864406779661017,0.6424876885254761,0.8212121212121213,0.8639812165235895,9
66,290,30,27,0.8619854721549637,0.6090889966027443,0.8044653758939473,0.8627558305870309,10
67,288,22,36,0.8595641646489104,0.6098157712921906,0.8032170084121977,0.8559946615388924,11
78,294,20,21,0.9007263922518159,0.7267136940232694,0.8633476713500601,0.9005533426180116,12
84,263,35,31,0.8401937046004843,0.6066802224302769,0.8032311157311158,0.8410196842400233,13
66,302,21,24,0.8910411622276029,0.676608037591632,0.8382126348228043,0.8903696131504232,14
80,282,27,24,0.8765133171912833,0.6755126835084375,0.8376835047971333,0.8770899975733746,15
69,279,31,34,0.8426150121065376,0.5756097836505328,0.7877345436431062,0.841831005414203,16
72,285,37,19,0.864406779661017,0.635973817666084,0.8152715654952076,0.8685590512806628,17
62,304,24,23,0.8861985472154964,0.6534113362650195,0.8266952368197849,0.8864444286634126,18
69,280,38,26,0.8450363196125908,0.582883663968031,0.7903021071337903,0.8481491658199158,19
71,283,28,31,0.8571428571428571,0.6122145497741085,0.8060338308457711,0.8564196162046909,20
66,288,30,29,0.8571428571428571,0.5982032763090276,0.7990930453065095,0.8574043427817596,21
73,289,31,20,0.8765133171912833,0.6621463013494535,0.8300178350939771,0.8788811426684608,22
64,291,37,21,0.8595641646489104,0.6021169527285164,0.7987735215053763,0.8638489676898643,23
78,279,28,28,0.864406779661017,0.6446438448773892,0.8223219224386945,0.8644067796610169,24
65,291,26,31,0.8619854721549637,0.6064298763612638,0.8029926439205644,0.8606803210878311,25
75,291,21,26,0.8861985472154964,0.6871443549852997,0.8433497695964103,0.8852066773632027,26
63,298,22,30,0.87409200968523,0.6288564435527887,0.8138091274795395,0.8720398264612065,27
67,287,29,30,0.8571428571428571,0.6011105714460178,0.8005467835539293,0.8568856022629073,28
77,287,29,20,0.8813559322033898,0.6813504651483138,0.839984502130957,0.8831289934922084,29
69,285,30,29,0.8571428571428571,0.6067245859615915,0.8033539660891109,0.8573918797866246,30
