TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
66,295,10,42,0.87409200968523,0.6558604399628561,0.8181972098063118,0.8662813826279139,1
64,311,7,31,0.9079903147699758,0.7268787142585856,0.85675428988682,0.9030119155910457,2
65,302,15,31,0.8886198547215496,0.6730951569151135,0.8339335664335663,0.8849279534025296,3
58,313,14,28,0.8983050847457628,0.6759667375843015,0.8356514818464337,0.8948652790963876,4
60,305,17,31,0.8837772397094431,0.6455012797155778,0.8206686930091185,0.880171037040853,5
58,303,12,40,0.87409200968523,0.6278838388357366,0.8057244174265451,0.866278570569952,6
55,299,13,46,0.8571428571428571,0.5828342569270384,0.7805427215332379,0.8467830027366381,7
60,310,12,31,0.8958837772397095,0.6795899538109479,0.8356698035514347,0.8913075152394005,8
48,321,11,33,0.8934624697336562,0.6348235128433128,0.8107871720116617,0.8867999915289533,9
61,301,8,43,0.8765133171912833,0.6523532081876845,0.8135506200816154,0.8673312571961235,10
55,323,10,25,0.9152542372881356,0.7135045239857898,0.8536128411565143,0.9118041591464404,11
53,317,11,32,0.8958837772397095,0.659159347889041,0.8239469431859863,0.8901615290763449,12
55,305,10,43,0.8716707021791767,0.6185435889161529,0.7974534787959544,0.8618740286925914,13
44,326,14,29,0.8958837772397095,0.6165543955694578,0.8049426107968587,0.8910464811523237,14
57,313,8,35,0.8958837772397095,0.6794484507653324,0.8309198061561605,0.8890321084144914,15
66,298,11,38,0.8813559322033898,0.66760537285466,0.8266563878538695,0.8749900369558162,16
64,307,11,31,0.8983050847457628,0.6976706482198627,0.8444583931133429,0.8938732582739587,17
55,309,13,36,0.8813559322033898,0.6303494688114158,0.809180315502626,0.8748203448643443,18
55,319,11,28,0.9055690072639225,0.6882226481110546,0.8403239717268249,0.9013676223997913,19
66,305,9,33,0.8983050847457628,0.7065078777507623,0.8471017558705309,0.8931633278712625,20
59,306,14,34,0.8837772397094431,0.6467733372227322,0.8190580503833516,0.8785368195210956,21
52,306,19,36,0.8668280871670703,0.5778533351328118,0.7858146398498864,0.8614059273072587,22
57,300,10,46,0.864406779661017,0.6116153998070736,0.7926111908177906,0.8537703961286871,23
64,298,12,39,0.8765133171912833,0.6505566565936389,0.8181292255618973,0.8697766912340466,24
69,292,11,41,0.87409200968523,0.6610210928584924,0.8222773915921882,0.8671214332601571,25
58,315,11,29,0.9031476997578692,0.6918571825070042,0.841944125526215,0.898861068099621,26
64,306,11,32,0.8958837772397095,0.6924209840765949,0.8414445783670371,0.891159714527618,27
64,302,16,31,0.8861985472154964,0.6638255632169994,0.829615975422427,0.8826324187411433,28
66,306,7,34,0.9007263922518159,0.7160510088136691,0.8501093220263967,0.8950319718514563,29
60,301,10,42,0.87409200968523,0.639178591474051,0.8090818576203684,0.8654599562990244,30
