TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
76,279,22,36,0.8595641646489104,0.6327395565288817,0.8148268398268398,0.8564788319025606,1
72,287,20,34,0.8692493946731235,0.6446349840533048,0.8206427330631152,0.8660843097310764,2
70,286,30,27,0.8619854721549637,0.6201914684442901,0.8100199333403275,0.8627072157496114,3
69,291,28,25,0.8716707021791767,0.6392087126645917,0.8195242610380509,0.8723753838162189,4
69,291,30,23,0.8716707021791767,0.6399212902474405,0.8195242610380509,0.8733149593322754,5
64,294,25,30,0.8668280871670703,0.6143773963748747,0.8069585022393324,0.8655265744512498,6
51,309,23,30,0.8716707021791767,0.5801725442083713,0.7895389644728619,0.8694423216987729,7
67,294,24,28,0.87409200968523,0.6394748927691611,0.8195900537634409,0.8731316227967403,8
69,289,28,27,0.8668280871670703,0.6281554721494553,0.8140690355163749,0.8670679010382097,9
70,294,27,22,0.8813559322033898,0.6642782681782256,0.8319088319088319,0.882459662120679,10
79,271,26,37,0.847457627118644,0.612565269325188,0.805399947645937,0.8450480725655203,11
70,288,24,31,0.8668280871670703,0.6316296537819556,0.815392742492584,0.8651764935307336,12
75,286,26,26,0.87409200968523,0.6592409240924092,0.8296204620462045,0.87409200968523,13
75,281,27,30,0.8619854721549637,0.632697793522328,0.8162768373486924,0.8613198124247753,14
65,292,32,24,0.864406779661017,0.6125770538003186,0.8057123655913978,0.8664753052669947,15
77,294,17,25,0.8983050847457628,0.7202241303925317,0.8595238095238096,0.896875360313617,16
67,288,31,27,0.8595641646489104,0.6067092086637786,0.8032170084121977,0.8605840226803442,17
69,290,25,29,0.8692493946731235,0.6338581228171066,0.8167882492113565,0.8682998716783403,18
69,284,31,29,0.8547215496368039,0.6014942007983083,0.8007141478479058,0.8552239440720495,19
65,298,30,20,0.8789346246973365,0.6467590661202962,0.8224114207086344,0.8813605132805425,20
72,285,32,24,0.864406779661017,0.6316113417010597,0.8152715654952076,0.8662522337141928,21
67,288,35,23,0.8595641646489104,0.6089163035561831,0.8032170084121977,0.8626237387432115,22
68,291,24,30,0.8692493946731235,0.6315247835008916,0.815441906653426,0.8678016595694547,23
61,295,28,29,0.8619854721549637,0.5934839325940601,0.7967326638632969,0.861706613999871,24
65,296,22,30,0.87409200968523,0.6347488470184067,0.8167701863354038,0.8721068383138075,25
76,287,22,28,0.8789346246973365,0.672960675189716,0.8361735211982735,0.8777186691476001,26
64,291,30,28,0.8595641646489104,0.5976181124491847,0.7987735215053763,0.8600997650290295,27
66,284,33,30,0.847457627118644,0.5772295378210058,0.7885407777642326,0.8482684094492094,28
60,300,22,31,0.8716707021791767,0.6140845631344458,0.806238879692659,0.8692170088359323,29
63,292,27,31,0.8595641646489104,0.5947274644302796,0.7972199647839631,0.8584751829918807,30
