TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
42,302,9,60,0.8329297820823245,0.5018132274609688,0.7232468024356845,0.811415043767022,1
43,306,12,52,0.8450363196125908,0.5139152079452228,0.7393293885601578,0.8289592198327531,2
39,314,12,48,0.8547215496368039,0.5099916392604554,0.7390040444893833,0.8395730762356869,3
46,304,6,57,0.847457627118644,0.5572156597574734,0.7498293351281189,0.8281590112600519,4
43,309,11,50,0.8523002421307506,0.5302816283022518,0.7475980082754751,0.836949162730917,5
48,306,6,53,0.8571428571428571,0.5813995349259914,0.765713186866016,0.8404870644955256,6
46,302,12,53,0.8426150121065376,0.5239645451247485,0.7444136604686147,0.8268874518832765,7
38,310,11,54,0.8426150121065376,0.487393410498583,0.7220582906248383,0.8235564127546512,8
43,302,15,53,0.8353510895883777,0.48701900641333007,0.7286255411255411,0.8196925149104325,9
32,304,14,63,0.8135593220338984,0.391705459269222,0.6707459750478852,0.7878319176136239,10
45,310,8,50,0.8595641646489104,0.5643840703846335,0.7612811926971219,0.8439872407924005,11
42,311,14,46,0.8547215496368039,0.5193265397099532,0.7476783968719453,0.8419877916870808,12
31,314,6,62,0.8353510895883777,0.46010546196701096,0.6896109637488947,0.806512054086572,13
42,310,9,52,0.8523002421307506,0.5334752663667184,0.7448680945870676,0.8350629945771,14
52,304,8,49,0.8619854721549637,0.5967202002153243,0.7801242236024845,0.8486667769539651,15
45,314,11,43,0.8692493946731235,0.5711420963777445,0.7729105571847508,0.8577890125183728,16
48,313,7,45,0.87409200968523,0.6076364621308639,0.7859762417284542,0.8614565410725602,17
47,301,10,55,0.8426150121065376,0.5359205251283119,0.7468718470953203,0.8256526403525817,18
35,311,9,58,0.837772397094431,0.4714433492083019,0.7068532624241204,0.8145295072435424,19
48,293,6,66,0.8256658595641646,0.5317075732102478,0.7310030395136777,0.802483128123229,20
38,302,12,61,0.8232445520581114,0.45231945059980133,0.7011192291296977,0.8005773519691255,21
52,297,6,58,0.8450363196125908,0.5762567917558628,0.7608915906788247,0.8271770302062404,22
37,307,13,56,0.8329297820823245,0.45742441362731406,0.7082288136460904,0.8130699982202576,23
45,306,4,58,0.8498789346246973,0.5672915552294219,0.7500585662970483,0.8292264446258734,24
46,293,10,64,0.8208232445520581,0.4973379420680762,0.7210478276743337,0.7990099955180616,25
50,313,10,40,0.8789346246973365,0.6145883872225232,0.7963510848126234,0.8695144490450879,26
42,312,10,49,0.8571428571428571,0.5378348279172563,0.7505144928278165,0.8417409822973512,27
46,295,13,59,0.8256658595641646,0.49262233777688935,0.7261071402254808,0.807273485710432,28
40,310,10,53,0.847457627118644,0.5107353767055045,0.733600221155126,0.8293247809837135,29
47,294,11,61,0.8256658595641646,0.5048201624049087,0.7285870755750274,0.8060142838578616,30
