TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
76,265,46,26,0.8256658595641646,0.5645013629259437,0.7794850498338871,0.8305527177366809,1
70,271,49,23,0.8256658595641646,0.5529734324127232,0.7715567574211788,0.8326650469060436,2
60,293,39,21,0.8547215496368039,0.5797035413678701,0.7868937048503611,0.8599614689765289,3
73,270,44,26,0.8305084745762712,0.565844551427008,0.780585913782635,0.835069926831527,4
70,278,36,29,0.8426150121065376,0.5790162663648448,0.7891284709948548,0.8444150399324115,5
61,273,49,30,0.8087167070217918,0.48583780186731035,0.7402825870646765,0.8148499536217219,6
60,279,47,27,0.8208232445520581,0.507688537040224,0.7507340467179955,0.8272240845369041,7
62,275,37,39,0.8159806295399515,0.4986536762259162,0.749297124600639,0.8153544933433383,8
72,268,49,24,0.8232445520581114,0.5525973969753879,0.7718629164680333,0.8297983321078662,9
56,285,47,25,0.8256658595641646,0.5045570958944242,0.7482730597318163,0.8331009757052636,10
64,277,40,32,0.8256658595641646,0.5259590597559249,0.7624920127795527,0.8280385862039623,11
59,288,29,37,0.8401937046004843,0.5395945052418625,0.769250304754165,0.8377153325534513,12
59,278,49,27,0.8159806295399515,0.4954360926173309,0.7439971290617252,0.8232118487660748,13
68,261,53,31,0.7966101694915254,0.485952920978432,0.7397839783978398,0.803087766403759,14
65,270,48,30,0.8111380145278451,0.5034082500774222,0.7493932038834952,0.8165595100966173,15
59,289,37,28,0.8426150121065376,0.5451214469845486,0.7718600481010292,0.8453836846111008,16
64,268,57,24,0.8038740920096852,0.49653508932330054,0.7405799012043148,0.8141128581693776,17
71,270,46,26,0.8256658595641646,0.5516664114940518,0.7729521715228147,0.8309637176587726,18
71,271,39,32,0.8280871670702179,0.5515520001522455,0.7754214246873301,0.8299304680536189,19
74,270,49,20,0.8329297820823245,0.5809553800854814,0.7843635785793739,0.8401155979067405,20
67,273,39,34,0.8232445520581114,0.5297778051230522,0.7647054232711323,0.824665404698572,21
72,275,41,25,0.8401937046004843,0.5824393226473404,0.7892857142857141,0.8442061570390867,22
68,271,46,28,0.8208232445520581,0.5321787757684197,0.7637445887445887,0.82588440615075,23
77,266,49,21,0.8305084745762712,0.5822266108537124,0.7856104651162792,0.8371600315333071,24
72,279,29,33,0.8498789346246973,0.5992798564334867,0.7995145631067961,0.848905710054303,25
60,286,39,28,0.837772397094431,0.5388853599545483,0.7684299498715406,0.841147471959262,26
77,274,43,19,0.8498789346246973,0.620011413390562,0.8056618093503338,0.8552657925261427,27
54,285,40,34,0.8208232445520581,0.47908810278111064,0.7392498805542284,0.8229420332273264,28
73,265,44,31,0.8184019370460048,0.5389880609180331,0.7683332710070678,0.8217920029757245,29
65,262,51,35,0.7917675544794189,0.4642458612078895,0.7304341226472374,0.7967489499581747,30
