TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
81,289,28,15,0.8958837772397095,0.7239436979724417,0.8605003731196732,0.8980952399972117,1
71,295,27,20,0.8861985472154964,0.6784528206287315,0.838769695912553,0.8876806988187134,2
76,297,23,17,0.9031476997578692,0.7292597379518657,0.8642875920084122,0.9042027253076282,3
87,284,18,24,0.8983050847457628,0.7372964794253299,0.8683515482695809,0.8973927942947114,4
70,296,28,19,0.8861985472154964,0.6766396963292967,0.8375553379695881,0.8881356661677671,5
72,294,29,18,0.8861985472154964,0.6821429942851843,0.8399554767695923,0.8884898705258789,6
78,290,24,21,0.8910411622276029,0.7042776063877338,0.8520597014925373,0.891592786671967,7
71,299,24,19,0.8958837772397095,0.7009730845810358,0.8502424421301177,0.8968846837114112,8
77,291,26,19,0.8910411622276029,0.7029705509906858,0.8510495059027194,0.8923493005186037,9
68,289,32,24,0.864406779661017,0.6211198275237072,0.8100026288117771,0.8663761606872338,10
75,285,24,29,0.8716707021791767,0.6542612552149524,0.8269220125089944,0.8706052571870296,11
80,276,31,26,0.8619854721549637,0.644113013558566,0.8218655649133958,0.8630089391764323,12
82,286,21,24,0.8910411622276029,0.7119069972211963,0.8558777228912859,0.8905240528255981,13
78,288,29,18,0.8861985472154964,0.6951177220599862,0.8465157469419383,0.8882771700869684,14
73,295,25,20,0.8910411622276029,0.6939972318326868,0.8467658820134394,0.8920383532234173,15
75,283,32,23,0.8668280871670703,0.6444657556567676,0.821570244687954,0.8687863591974165,16
71,294,25,23,0.8837772397094431,0.671970376199444,0.8359483614697121,0.8842061982586785,17
62,307,25,19,0.8934624697336562,0.6720082335504663,0.835612968591692,0.8948791922106022,18
76,278,33,26,0.8571428571428571,0.6252064179181485,0.8122220937849189,0.8586995172592214,19
70,295,28,20,0.8837772397094431,0.6706394641165715,0.8347228706729807,0.8855213950529618,20
73,277,40,23,0.847457627118644,0.6009173093586565,0.7982288120478004,0.8515600283745477,21
81,281,31,20,0.8765133171912833,0.6793084062526249,0.8386829951979413,0.8785939849009171,22
84,286,30,13,0.8958837772397095,0.7311724226564755,0.8631449158093476,0.8986390279541457,23
68,303,27,15,0.8983050847457628,0.7021962250828522,0.849615064502705,0.9007913836517911,24
64,294,26,29,0.8668280871670703,0.6140826944192017,0.8069585022393324,0.866047179537578,25
65,307,26,15,0.9007263922518159,0.7002677243421408,0.8488192491406633,0.9030858078477775,26
74,283,37,19,0.864406779661017,0.6407780494368773,0.8177290208687977,0.8684268737196771,27
82,290,23,18,0.9007263922518159,0.7344161115344637,0.8669887278582931,0.9015373937997372,28
60,303,29,21,0.8789346246973365,0.6309826519296556,0.8148314203730271,0.8810450182553385,29
70,288,30,25,0.8668280871670703,0.6312160075353667,0.815392742492584,0.8680077969073108,30
