TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
67,300,19,27,0.8886198547215496,0.6745055896628466,0.8366185070519436,0.8868344007243099,1
60,307,12,34,0.8886198547215496,0.6638336026988982,0.8265972982840454,0.8830955784396668,2
68,302,17,26,0.8958837772397095,0.6949614983965855,0.8466579744933643,0.8939904771340809,3
65,297,22,29,0.8765133171912833,0.6400985343830827,0.8195811383785172,0.8747955359340015,4
70,296,23,24,0.8861985472154964,0.6751295246596359,0.8375553379695881,0.8859833117763551,5
65,305,14,29,0.8958837772397095,0.6903682569505355,0.8427975816374403,0.8925658900145677,6
62,303,16,32,0.8837772397094431,0.6528368301257458,0.8237678685726477,0.8797932150696558,7
65,294,25,29,0.8692493946731235,0.6227042789196817,0.8112047947988623,0.8682355151993373,8
65,303,16,29,0.8910411622276029,0.677221984782697,0.8368663594470046,0.888082034344629,9
67,298,21,27,0.8837772397094431,0.6624255242944237,0.8308647873865265,0.8824028902984582,10
61,304,15,33,0.8837772397094431,0.6512865808489533,0.8222381635581062,0.8792187896241588,11
64,303,16,30,0.8886198547215496,0.6691308920863102,0.8325400183343912,0.8853348433850634,12
67,296,23,27,0.8789346246973365,0.6506810934090838,0.8251896248137613,0.8779958474067938,13
64,305,14,30,0.8934624697336562,0.6823455978659158,0.8384538795249271,0.8898104471471846,14
68,298,21,26,0.8861985472154964,0.6705575944713704,0.8350372655499749,0.885086345440159,15
62,301,18,32,0.8789346246973365,0.6399059493587672,0.8179782807982512,0.8753639602011558,16
67,287,32,27,0.8571428571428571,0.6015188520707261,0.8005467835539295,0.8584291315426055,17
67,300,19,27,0.8886198547215496,0.6745055896628466,0.8366185070519436,0.8868344007243099,18
68,295,24,26,0.8789346246973365,0.653132345566934,0.8265288978494624,0.8784729002317165,19
68,296,23,26,0.8813559322033898,0.658861822051605,0.8293460387064131,0.8806715914994822,20
63,303,16,31,0.8861985472154964,0.6610029868418202,0.8281741008595279,0.8825720193182484,21
60,300,19,34,0.8716707021791767,0.6169550816787472,0.8062388796926591,0.8675812132737692,22
64,296,23,30,0.8716707021791767,0.6259366072014139,0.8125058889031649,0.8698855569510212,23
64,305,14,30,0.8934624697336562,0.6823455978659158,0.8384538795249271,0.8898104471471846,24
64,305,14,30,0.8934624697336562,0.6823455978659158,0.8384538795249271,0.8898104471471846,25
66,300,19,28,0.8861985472154964,0.6663938564300492,0.8323936000276307,0.8841291261698092,26
65,301,18,29,0.8861985472154964,0.6644771988256936,0.8310220852593735,0.8836267629717789,27
61,302,17,33,0.8789346246973365,0.6380824462556608,0.8164248630965081,0.8747845990308915,28
67,296,23,27,0.8789346246973365,0.6506810934090838,0.8251896248137613,0.8779958474067938,29
64,302,17,30,0.8861985472154964,0.6626781399636417,0.829615975422427,0.8831079025377236,30
