TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
66,296,23,28,0.8765133171912833,0.6424674954231225,0.8209978838946536,0.8753064599457042,1
68,294,25,26,0.8765133171912833,0.6474789402006484,0.8237302603499788,0.876279763842428,2
66,298,21,28,0.8813559322033898,0.6542604615647517,0.8266563878538695,0.8797055149169819,3
61,300,19,33,0.87409200968523,0.6252934779949957,0.8106974120301813,0.870378518609202,4
67,283,36,27,0.847457627118644,0.5813642126978401,0.7900220315866777,0.849850776932476,5
65,296,23,29,0.87409200968523,0.6342197671385295,0.8167701863354038,0.872603131156663,6
65,290,29,29,0.8595641646489104,0.6005802707930368,0.8002901353965184,0.8595641646489104,7
64,295,24,30,0.8692493946731235,0.6201168885605822,0.8097228858098424,0.8677032515857654,8
67,295,24,27,0.8765133171912833,0.6449289018003345,0.8223805708985117,0.8758010442137469,9
68,295,24,26,0.8789346246973365,0.653132345566934,0.8265288978494624,0.8784729002317165,10
65,293,26,29,0.8668280871670703,0.6170630612977935,0.8084496352827086,0.8660599496422761,11
67,298,21,27,0.8837772397094431,0.6624255242944237,0.8308647873865265,0.8824028902984582,12
68,288,31,26,0.8619854721549637,0.6150460661140263,0.8073079095351522,0.8632281440326868,13
69,290,29,25,0.8692493946731235,0.6338581228171066,0.8167882492113565,0.8701989176679066,14
72,289,30,22,0.87409200968523,0.6532695169112109,0.826077097505669,0.8758621446964581,15
72,287,32,22,0.8692493946731235,0.6429916886762181,0.8206427330631152,0.8715101696317286,16
66,295,24,28,0.87409200968523,0.6366926861643827,0.8181972098063118,0.8731156813030655,17
65,293,26,29,0.8668280871670703,0.6170630612977935,0.8084496352827086,0.8660599496422761,18
67,295,24,27,0.8765133171912833,0.6449289018003345,0.8223805708985117,0.8758010442137469,19
63,298,21,31,0.87409200968523,0.6295543514706267,0.8138091274795395,0.8715267806552006,20
69,292,27,25,0.87409200968523,0.6446267863309411,0.8222773915921882,0.874556714780235,21
69,293,26,25,0.8765133171912833,0.6501141429701409,0.8250479679051108,0.8767430732148824,22
66,296,23,28,0.8765133171912833,0.6424674954231225,0.8209978838946536,0.8753064599457042,23
67,301,18,27,0.8910411622276029,0.6806776774133173,0.8395257872604975,0.889059801651945,24
66,293,26,28,0.8692493946731235,0.6253752290080594,0.8126512096774193,0.8687507322502537,25
65,296,23,29,0.87409200968523,0.6342197671385295,0.8167701863354038,0.872603131156663,26
71,292,27,23,0.8789346246973365,0.6610070369704346,0.8303594900105153,0.8798138126554691,27
66,301,18,28,0.8886198547215496,0.6725945678515849,0.8352926896934387,0.8863506136565238,28
71,300,19,23,0.8983050847457628,0.7066347223878879,0.8531592848435594,0.8975165118217067,29
66,299,20,28,0.8837772397094431,0.6602833601978568,0.829514963880289,0.8819141572775407,30
