TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
73,281,17,42,0.8571428571428571,0.6272832450566651,0.8085935352107145,0.8513076021029362,1
59,314,15,25,0.9031476997578692,0.6893618664777821,0.8434776017585083,0.9008076959147571,2
62,303,13,35,0.8837772397094431,0.6576090285185214,0.8237678685726477,0.8782992058297358,3
65,299,22,27,0.8813559322033898,0.65101214904372,0.825261412794764,0.8801573313613252,4
65,295,15,38,0.8716707021791767,0.6379154267348932,0.8139781930669929,0.8659014512679583,5
63,304,19,27,0.8886198547215496,0.6635584276252745,0.8311108740487874,0.8867108429149847,6
65,299,13,36,0.8813559322033898,0.6609840129380364,0.825261412794764,0.8758423683298925,7
72,301,12,28,0.9031476997578692,0.7254429122530659,0.860151699851009,0.9001436124281322,8
52,314,8,39,0.8861985472154964,0.6428985559075361,0.8095560461123376,0.87713015968039,9
60,305,16,32,0.8837772397094431,0.6467835181295812,0.8206686930091185,0.8796558652310547,10
52,308,21,32,0.8716707021791767,0.5858684474224861,0.7915988308436397,0.8682301139577278,11
56,305,15,37,0.87409200968523,0.6147276917913551,0.8021884901628473,0.867739088281646,12
50,309,13,41,0.8692493946731235,0.5868519619143133,0.7844967532467533,0.8600869469513538,13
71,285,13,44,0.8619854721549637,0.6389327286790617,0.8113293741434444,0.8546474392654445,14
55,314,15,29,0.8934624697336562,0.6535509476048951,0.8244047619047619,0.889729620661824,15
57,314,16,26,0.8983050847457628,0.6704929429528786,0.8340413318025257,0.8958045496117846,16
62,307,7,37,0.8934624697336562,0.6911841296204756,0.835612968591692,0.8863788573489257,17
47,315,18,33,0.8765133171912833,0.578910236389498,0.7866929971137779,0.8714860604705276,18
53,296,16,48,0.8450363196125908,0.5455405944325141,0.7629842180774749,0.8342311045956209,19
64,301,14,34,0.8837772397094431,0.6615193191042179,0.8267132867132867,0.8789617162498518,20
60,296,19,38,0.8619854721549637,0.5969851388982188,0.7950693374422187,0.8565981562247003,21
64,308,9,32,0.9007263922518159,0.7067609294190271,0.8474957895400466,0.895708753471608,22
65,306,14,28,0.8983050847457628,0.6958038437894288,0.8457968850010668,0.8952548158809256,23
65,293,25,30,0.8668280871670703,0.6173543822466687,0.8084496352827086,0.8655478579590798,24
49,313,16,35,0.8765133171912833,0.5910202768724381,0.7911928861043094,0.87037283162063,25
69,294,18,32,0.8789346246973365,0.659295655671439,0.8278363236176882,0.8757551748523806,26
63,300,13,37,0.8789346246973365,0.6505371946791992,0.8194930069930071,0.8729152203728475,27
76,290,19,28,0.8861985472154964,0.690285507988648,0.8444294839428402,0.884441904367581,28
52,305,10,46,0.864406779661017,0.5941594420954508,0.782957957957958,0.8528172240036648,29
57,308,15,33,0.8837772397094431,0.6386141386009373,0.8157072735385988,0.8788957281912152,30
