TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
67,304,15,27,0.8983050847457628,0.6997543635924296,0.8483741258741259,0.8957769349294773,1
62,306,13,32,0.8910411622276029,0.6730326198702319,0.832617329982978,0.886491765454456,2
65,308,11,29,0.9031476997578692,0.7108979405676342,0.8518651362984218,0.8993489913534656,3
63,308,11,31,0.8983050847457628,0.6950503567367823,0.8430851063829787,0.8937973314100253,4
60,310,9,34,0.8958837772397095,0.6857181420760036,0.8356698035514347,0.889862379870882,5
68,303,16,26,0.8983050847457628,0.7012880454388905,0.849615064502705,0.8962331689907389,6
66,306,13,28,0.9007263922518159,0.7050508920048931,0.8501093220263967,0.8975628253627274,7
65,306,13,29,0.8983050847457628,0.6970999817360007,0.8457968850010669,0.894819063185949,8
66,299,20,28,0.8837772397094431,0.6602833601978568,0.829514963880289,0.8819141572775407,9
66,305,14,28,0.8983050847457628,0.6983558348138531,0.8471017558705309,0.8953057265689709,10
68,306,13,26,0.9055690072639225,0.7208535192398631,0.8586175115207373,0.9030044297653452,11
65,307,12,29,0.9007263922518159,0.7039420024365034,0.8488192491406634,0.897080022694421,12
67,304,15,27,0.8983050847457628,0.6997543635924296,0.8483741258741259,0.8957769349294773,13
63,309,10,31,0.9007263922518159,0.702210537577487,0.8461377699835535,0.8960663879118425,14
68,303,16,26,0.8983050847457628,0.7012880454388905,0.849615064502705,0.8962331689907389,15
66,305,14,28,0.8983050847457628,0.6983558348138531,0.8471017558705309,0.8953057265689709,16
65,307,12,29,0.9007263922518159,0.7039420024365034,0.8488192491406634,0.897080022694421,17
65,309,10,29,0.9055690072639225,0.7179715838721298,0.854935019318581,0.9016261967271952,18
64,310,9,30,0.9055690072639225,0.7173492833111355,0.8536432446185019,0.9011363202088257,19
66,307,12,28,0.9031476997578692,0.7118543656060857,0.8531398904772065,0.8998276792247132,20
66,306,13,28,0.9007263922518159,0.7050508920048931,0.8501093220263967,0.8975628253627274,21
67,306,13,27,0.9031476997578692,0.7129683061776245,0.8543826246386009,0.9002911681609247,22
69,306,13,25,0.9079903147699758,0.7287077826340239,0.8628146853146853,0.9057029411266699,23
62,307,12,32,0.8934624697336562,0.6799920869297063,0.835612968591692,0.8887400614771691,24
66,310,9,28,0.910411622276029,0.732951238539429,0.8623742490971154,0.9066710071514416,25
65,306,13,29,0.8983050847457628,0.6970999817360007,0.8457968850010669,0.894819063185949,26
62,309,10,32,0.8983050847457628,0.6942758942728096,0.8416757940854327,0.8932611803144782,27
63,305,14,31,0.8910411622276029,0.674286466453816,0.834069907593411,0.8870390492987547,28
65,306,13,29,0.8983050847457628,0.6970999817360007,0.8457968850010669,0.894819063185949,29
68,304,15,26,0.9007263922518159,0.7077102634344755,0.8525937339496662,0.8984829208902751,30
