TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
48,312,14,39,0.8716707021791767,0.5808292805929722,0.7830043718338902,0.8632742693813278,1
62,308,13,30,0.8958837772397095,0.6836684182045674,0.8386322953486048,0.8919273740195924,2
61,313,9,30,0.9055690072639225,0.7096498743371545,0.849558679306963,0.9009014799341758,3
64,307,13,29,0.8983050847457628,0.6945008581273006,0.8444583931133429,0.8947596235683194,4
54,305,13,41,0.8692493946731235,0.6022208108134762,0.7926706827309238,0.8607067495162247,5
61,318,11,23,0.9176755447941889,0.7349780023132154,0.8656525066972828,0.9152464535211815,6
58,322,6,27,0.9200968523002422,0.7419099134790993,0.8648895145380826,0.9157053595237067,7
61,303,9,40,0.8813559322033898,0.6588643761747044,0.8193205660461587,0.8734092530675462,8
56,315,4,38,0.8983050847457628,0.6939335712692879,0.8323863636363636,0.8896516618974246,9
58,304,13,38,0.8765133171912833,0.6304529242655389,0.8086103968088103,0.8696126139003816,10
69,301,16,27,0.8958837772397095,0.6981926237657647,0.8478821362799264,0.8936078373666163,11
68,302,7,36,0.8958837772397095,0.7106711913182108,0.8466579744933644,0.8897831435660172,12
64,312,12,25,0.910411622276029,0.7237206167410509,0.8598908907532206,0.9077633581236237,13
58,312,15,28,0.8958837772397095,0.669052198854563,0.8325459911553657,0.8926420795267312,14
60,310,14,29,0.8958837772397095,0.6764644418612438,0.8356698035514348,0.8922709388184131,15
54,326,12,21,0.9200968523002422,0.7201514707980405,0.8588911321633794,0.9180716630310077,16
50,306,17,40,0.8619854721549637,0.563182830231847,0.7758704407186312,0.8542485747993557,17
62,306,16,29,0.8910411622276029,0.668869132045296,0.832617329982978,0.8879284170670286,18
57,307,6,43,0.8813559322033898,0.6562751896884713,0.8127400086981464,0.8712007755246137,19
63,305,13,32,0.8910411622276029,0.6758302684800013,0.834069907593411,0.8865682124835962,20
55,312,19,27,0.8886198547215496,0.6379686641353007,0.8182357443551473,0.8864289096517785,21
64,304,15,30,0.8910411622276029,0.6756856218961779,0.835485841248484,0.8875689546664081,22
61,319,8,25,0.9200968523002422,0.7454299957234936,0.868958223162348,0.9167272527058847,23
66,305,14,28,0.8983050847457628,0.6983558348138531,0.8471017558705309,0.8953057265689709,24
65,316,7,25,0.9225181598062954,0.762286907719834,0.8771381823590658,0.9192638187941435,25
69,295,8,41,0.8813559322033898,0.6819982177213364,0.8306427991597833,0.8739509172014474,26
66,291,18,38,0.864406779661017,0.6215189553788284,0.807176682451811,0.8593196599090875,27
58,311,9,35,0.8934624697336562,0.6747537755345824,0.829466966966967,0.8868858568011111,28
71,303,14,25,0.9055690072639225,0.7265501547305345,0.8620326352306309,0.9035047827278614,29
80,289,12,32,0.8934624697336562,0.720568663872429,0.8567870878254839,0.8899528638094291,30
