TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
72,290,29,22,0.8765133171912833,0.6585005898153247,0.8288187248567598,0.8780447949267955,1
68,301,19,25,0.8934624697336562,0.6881657852026508,0.8437220502235983,0.8921816005617236,2
81,296,12,24,0.9128329297820823,0.763557809114174,0.8804284887087435,0.9110243098151983,3
61,296,24,32,0.864406779661017,0.6001805341802259,0.7994867526702732,0.8621967361889916,4
65,295,24,29,0.8716707021791767,0.6284224458989986,0.813978193066993,0.8704165171984771,5
78,299,11,25,0.9128329297820823,0.7595343753226932,0.8778588328075709,0.9106173761275884,6
73,303,9,28,0.910411622276029,0.7477050226023148,0.8701357196882782,0.9070844824970411,7
79,289,15,30,0.8910411622276029,0.7100193394008611,0.8530469917529196,0.8883272929079826,8
69,291,25,28,0.8716707021791767,0.6392087126645917,0.8195242610380509,0.8709660205421346,9
80,295,14,24,0.9079903147699758,0.7494267858398566,0.8737856269703403,0.906399399058365,10
70,297,17,29,0.8886198547215496,0.6835668670980686,0.8404065860215053,0.8860711356713269,11
65,294,18,36,0.8692493946731235,0.6284124007774473,0.8112047947988622,0.8646869370410856,12
78,283,21,31,0.87409200968523,0.667494706135796,0.8329288025889967,0.8720840483634625,13
73,299,15,26,0.9007263922518159,0.7189498046642802,0.8582929543990024,0.8986610479315463,14
75,302,17,19,0.9128329297820823,0.7502822535229953,0.8751008064516128,0.9125004881668358,15
67,297,22,27,0.8813559322033898,0.6565125449472465,0.8280175747223142,0.8801964026929316,16
75,300,17,21,0.9079903147699758,0.738626325827432,0.8691556059494432,0.9072999199464996,17
69,305,16,23,0.9055690072639225,0.7206007555798737,0.8597842835130971,0.904210985796737,18
70,297,15,31,0.8886198547215496,0.6857190039898636,0.8404065860215053,0.8852215626545861,19
69,305,12,27,0.9055690072639225,0.7243257283686122,0.8597842835130971,0.9026589612628109,20
69,306,15,23,0.9079903147699758,0.7269952351855556,0.8628146853146854,0.9064653990077719,21
66,300,19,28,0.8861985472154964,0.6663938564300492,0.8323936000276307,0.8841291261698092,22
73,308,16,16,0.9225181598062954,0.7708420030517409,0.8854210015258704,0.9225181598062954,23
64,310,13,26,0.9055690072639225,0.7111179397168772,0.853643244618502,0.9028249628964816,24
57,308,21,27,0.8837772397094431,0.632208774946867,0.8157072735385988,0.8821500692033671,25
71,294,24,24,0.8837772397094431,0.671896722939424,0.8359483614697121,0.8837772397094431,26
64,306,23,20,0.8958837772397095,0.6830818039443268,0.8414445783670371,0.8965586433414368,27
53,312,26,22,0.8837772397094431,0.6172569068772317,0.8084415584415585,0.8849407251344298,28
80,294,10,29,0.9055690072639225,0.7484738870066487,0.8709095717823567,0.9024917676650921,29
63,304,26,20,0.8886198547215496,0.6629731665924062,0.8311108740487875,0.8900516135764731,30
