TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
68,301,14,30,0.8934624697336562,0.6925989292972621,0.8437220502235983,0.8900468186085019,1
67,300,22,24,0.8886198547215496,0.6733162045377772,0.8366185070519436,0.8881734912222397,2
77,293,25,18,0.8958837772397095,0.714254099222006,0.8566817040988435,0.8971542147952005,3
69,293,26,25,0.8765133171912833,0.6501141429701409,0.8250479679051108,0.8767430732148824,4
67,293,18,35,0.8716707021791767,0.6389248693773381,0.816817721540174,0.8675445930160658,5
72,287,24,30,0.8692493946731235,0.6418990567052056,0.8206427330631152,0.8678929296979605,6
62,302,26,23,0.8813559322033898,0.6419076838700964,0.8208623604705716,0.8821121018500501,7
56,311,21,25,0.8886198547215496,0.6403668024201157,0.8199992420222845,0.887543452953718,8
66,299,20,28,0.8837772397094431,0.6602833601978568,0.829514963880289,0.8819141572775407,9
75,293,18,27,0.8910411622276029,0.69939007029014,0.8489576984030234,0.8893037715192488,10
72,290,24,27,0.8765133171912833,0.6577958775033564,0.8288187248567597,0.8758569695903495,11
69,298,12,34,0.8886198547215496,0.6877811099530757,0.8391744548286605,0.883869641631403,12
73,288,21,31,0.87409200968523,0.6562960758216729,0.8272855948015183,0.8719149671324992,13
66,292,21,34,0.8668280871670703,0.6228601919575617,0.8099051827303692,0.8635537608056673,14
73,296,20,24,0.8934624697336562,0.6995399414255516,0.8496193313472361,0.892676045726725,15
60,308,22,23,0.8910411622276029,0.6592160887343493,0.8295970292944574,0.890793403627066,16
55,302,22,34,0.864406779661017,0.5807315697871163,0.7889010587805769,0.8607384855291738,17
66,295,23,29,0.87409200968523,0.6370657762019585,0.8181972098063118,0.8726275171119833,18
66,300,25,22,0.8861985472154964,0.6649654565462737,0.8323936000276307,0.8868883542307254,19
61,309,15,28,0.8958837772397095,0.6781293088224948,0.8371704946591483,0.8928060648463736,20
71,296,23,23,0.8886198547215496,0.6832188354565464,0.8416094177282732,0.8886198547215496,21
66,298,22,27,0.8813559322033898,0.6537960588750106,0.8266563878538695,0.8801770627130987,22
57,313,20,23,0.8958837772397095,0.6620528326030357,0.8309198061561605,0.8951224807035741,23
69,294,24,26,0.8789346246973365,0.6557463255139573,0.8278363236176883,0.8784804175766286,24
76,290,22,25,0.8861985472154964,0.689017284837053,0.8444294839428401,0.8856129995995247,25
62,300,22,29,0.8765133171912833,0.6312021478802994,0.8151152073732719,0.87470749043193,26
75,280,26,32,0.8595641646489104,0.6278736345285514,0.813651356733881,0.8582203751489583,27
56,299,29,29,0.8595641646489104,0.5704088952654233,0.7852044476327116,0.8595641646489104,28
67,299,25,22,0.8861985472154964,0.6676392986218785,0.8337316373292217,0.8868769986364397,29
61,294,30,28,0.8595641646489104,0.5880680155512346,0.7939972480220158,0.8601269708002142,30
