TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
69,302,17,25,0.8983050847457628,0.7029500485928263,0.8508255933952529,0.8966748876178483,1
73,308,11,21,0.9225181598062954,0.7730217394071541,0.8854210015258704,0.9209395573262774,2
67,302,17,27,0.8934624697336562,0.6869413066452377,0.8424538770980718,0.8912918913236313,3
68,307,12,26,0.9079903147699758,0.727580777541396,0.8616634934066709,0.9052766097528785,4
67,302,17,27,0.8934624697336562,0.6869413066452377,0.8424538770980718,0.8912918913236313,5
73,301,18,21,0.9055690072639225,0.7285264233079575,0.8641733777459206,0.9050243279281593,6
65,308,11,29,0.9031476997578692,0.7108979405676342,0.8518651362984218,0.8993489913534656,7
64,308,11,30,0.9007263922518159,0.7029919292048304,0.8474957895400467,0.8965813863029486,8
68,304,15,26,0.9007263922518159,0.7077102634344755,0.8525937339496662,0.8984829208902751,9
68,302,17,26,0.8958837772397095,0.6949614983965855,0.8466579744933643,0.8939904771340809,10
68,302,17,26,0.8958837772397095,0.6949614983965855,0.8466579744933643,0.8939904771340809,11
68,303,16,26,0.8983050847457628,0.7012880454388905,0.849615064502705,0.8962331689907389,12
69,304,15,25,0.9031476997578692,0.7156347842325431,0.856776251907338,0.9011744466578465,13
71,302,17,23,0.9031476997578692,0.7188370386062124,0.8590539894887721,0.9020024085820486,14
64,309,10,30,0.9031476997578692,0.7101086265438583,0.8505572441742654,0.8988546013428812,15
71,304,15,23,0.9079903147699758,0.7313945075228059,0.8650326797385621,0.9065153745113865,16
70,306,13,24,0.910411622276029,0.7365323065069969,0.8669748330765281,0.9083870261692728,17
70,303,16,24,0.9031476997578692,0.717172278057816,0.8579291365669075,0.9015951310646172,18
64,308,11,30,0.9007263922518159,0.7029919292048304,0.8474957895400467,0.8965813863029486,19
66,306,13,28,0.9007263922518159,0.7050508920048931,0.8501093220263967,0.8975628253627274,20
68,303,16,26,0.8983050847457628,0.7012880454388905,0.849615064502705,0.8962331689907389,21
74,292,27,20,0.8861985472154964,0.6853715258486938,0.8422447072209354,0.8876099090501841,22
71,304,15,23,0.9079903147699758,0.7313945075228059,0.8650326797385621,0.9065153745113865,23
69,303,16,25,0.9007263922518159,0.7092453193798536,0.8537901617262311,0.8989211526162166,24
68,304,15,26,0.9007263922518159,0.7077102634344755,0.8525937339496662,0.8984829208902751,25
67,306,13,27,0.9031476997578692,0.7129683061776245,0.8543826246386009,0.9002911681609247,26
66,307,12,28,0.9031476997578692,0.7118543656060857,0.8531398904772065,0.8998276792247132,27
70,297,22,24,0.8886198547215496,0.6808894621258087,0.8404065860215055,0.8881950682131793,28
70,305,14,24,0.9079903147699758,0.7299815230261959,0.8639374393119711,0.9061157243249542,29
63,308,11,31,0.8983050847457628,0.6950503567367823,0.8430851063829787,0.8937973314100253,30
