TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
61,298,16,38,0.8692493946731235,0.6195471148682565,0.8050524475524475,0.8632901843918793,1
60,308,14,31,0.8910411622276029,0.6656050557215438,0.8295970292944573,0.886829266018476,2
54,302,18,39,0.8619854721549637,0.5773400711882387,0.7841562371063129,0.8553950933806828,3
63,302,10,38,0.8837772397094431,0.6667251034010782,0.8252591495663211,0.8769215638767761,4
60,303,13,37,0.8789346246973365,0.6416798949504314,0.8148314203730272,0.8726034440233307,5
61,312,9,31,0.9031476997578692,0.7042522508770225,0.8464227279488323,0.8981757898781926,6
65,302,16,30,0.8886198547215496,0.6718647629135118,0.8339335664335665,0.8853894410674071,7
51,320,11,31,0.8983050847457628,0.6574750407832037,0.8233748778103617,0.8927340656427589,8
67,302,13,31,0.8934624697336562,0.6915270766882748,0.8424538770980718,0.8895554285956115,9
58,303,11,41,0.87409200968523,0.6303672890275049,0.805724417426545,0.8657204677760032,10
64,306,12,31,0.8958837772397095,0.690677755095366,0.8414445783670372,0.8916096252621031,11
46,320,14,33,0.8861985472154964,0.6031271147209318,0.796728556019813,0.8799944237384234,12
58,305,13,37,0.8789346246973365,0.6353865898143952,0.811518802482658,0.8723840994619021,13
54,310,18,31,0.8813559322033898,0.6185038031251222,0.807327220968648,0.8775966617110007,14
72,295,11,35,0.8886198547215496,0.6964045115608437,0.842783846408474,0.8836868314053442,15
57,304,22,30,0.87409200968523,0.6092959430123212,0.8039795545819641,0.8718211609369461,16
62,299,16,36,0.87409200968523,0.6324361299632724,0.8122727272727273,0.8688751926040061,17
73,296,11,33,0.8934624697336562,0.7084301288702969,0.849619331347236,0.889137137695534,18
64,303,17,29,0.8886198547215496,0.6680528333893005,0.8325400183343912,0.8858041307188471,19
48,328,8,29,0.910411622276029,0.6820632863267633,0.8342067289435711,0.9046962552760947,20
55,312,12,34,0.8886198547215496,0.6479234600090367,0.8182357443551473,0.8825947557796786,21
52,309,8,44,0.87409200968523,0.6190329903142646,0.7945273631840797,0.8629467673737848,22
58,309,8,38,0.8886198547215496,0.6673515182713711,0.8233861371411573,0.8808229960466024,23
60,305,14,34,0.8837772397094431,0.6498755473155541,0.8206686930091185,0.8786255216114573,24
52,314,9,38,0.8861985472154964,0.6398542272612627,0.8095560461123374,0.8777152169407192,25
61,310,12,30,0.8983050847457628,0.6878510322578097,0.8402291651315303,0.8941068254965411,26
67,304,12,30,0.8983050847457628,0.7035378888697279,0.8483741258741259,0.8945128600213347,27
55,310,7,41,0.8837772397094431,0.6513840114811108,0.81217312211021,0.8742300240295454,28
71,298,8,36,0.8934624697336562,0.710040412993307,0.8473454301075269,0.8877740243172174,29
60,313,14,26,0.9031476997578692,0.6933563468691382,0.84496996996997,0.9003882817442139,30
