TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
62,310,18,23,0.9007263922518159,0.6900537761852433,0.8447439600238391,0.8995977141827036,1
66,300,17,30,0.8861985472154964,0.6681453709750994,0.8323936000276307,0.8832093834828372,2
62,313,19,19,0.9079903147699758,0.7082031831027815,0.8541015915513908,0.9079903147699758,3
78,295,16,24,0.9031476997578692,0.7336150530887958,0.8662131519274376,0.9017860574415401,4
67,299,26,21,0.8861985472154964,0.667952385409318,0.8337316373292218,0.887329299583735,5
63,303,23,24,0.8861985472154964,0.6563687888624931,0.8281741008595278,0.885956778689013,6
72,289,19,33,0.87409200968523,0.6555775042652351,0.8260770975056689,0.870994273415581,7
59,290,24,40,0.8450363196125908,0.5534700046188026,0.7744863831820352,0.8401497439290891,8
66,309,15,23,0.9079903147699758,0.7199687660655436,0.8592718794835008,0.9063864156658944,9
63,298,20,32,0.87409200968523,0.6304087502179535,0.8138091274795394,0.8710137348491946,10
57,312,21,23,0.8934624697336562,0.6557440988891438,0.8278253619343592,0.8929476688881715,11
68,304,20,21,0.9007263922518159,0.705208265261833,0.8525937339496661,0.9005224403098576,12
70,293,27,23,0.8789346246973365,0.6585171286923891,0.8291128765309501,0.8798282883415767,13
60,302,26,25,0.8765133171912833,0.6239121143719879,0.8119458952725325,0.8767801247198732,14
70,286,26,31,0.8619854721549637,0.6204610948206001,0.8100199333403274,0.8607825661638842,15
53,318,24,18,0.8983050847457628,0.6551923517322932,0.8271346567806745,0.8999164906619534,16
54,320,21,18,0.9055690072639225,0.6774943501296904,0.8386282347990743,0.9063239783819471,17
79,290,14,30,0.8934624697336562,0.7161812573485219,0.8558326986544809,0.8906090273769415,18
72,291,16,34,0.8789346246973365,0.6689525424366392,0.8315770585932403,0.8750422220038492,19
68,289,31,25,0.864406779661017,0.6206318954653699,0.810002628811777,0.8658838154306796,20
60,306,20,27,0.8861985472154964,0.648294240196573,0.8236213460787075,0.8844178951506283,21
59,302,23,29,0.87409200968523,0.6155814259198434,0.8074246771879483,0.8724459027099885,22
75,288,12,38,0.8789346246973365,0.6818971490125671,0.8350638977635783,0.8735795124894599,23
72,301,21,19,0.9031476997578692,0.7203833136748868,0.860151699851009,0.9035232106740864,24
75,285,19,34,0.8716707021791767,0.6576109595835955,0.8269220125089943,0.8684743672027353,25
82,283,16,32,0.8837772397094431,0.6996079178013377,0.8477045049474525,0.8809057782358519,26
67,295,20,31,0.8765133171912833,0.6470213769962645,0.8223805708985117,0.873901649606983,27
74,283,24,32,0.864406779661017,0.6365046509235881,0.8177290208687977,0.8626200711905013,28
67,296,23,27,0.8789346246973365,0.6506810934090838,0.8251896248137613,0.8779958474067938,29
67,300,22,24,0.8886198547215496,0.6733162045377772,0.8366185070519436,0.8881734912222397,30
