TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
79,291,24,19,0.8958837772397095,0.7177137105677288,0.8586348258706469,0.8967622902436969,1
62,304,22,25,0.8861985472154964,0.6535782706846524,0.8266952368197849,0.8854609028717478,2
67,295,23,28,0.8765133171912833,0.6452272830247912,0.8223805708985117,0.875326195562056,3
65,313,15,20,0.9152542372881356,0.7355167469761353,0.8674643561179114,0.9142907316193812,4
73,299,23,18,0.9007263922518159,0.7170734409698902,0.8582929543990024,0.9016651851246659,5
74,285,25,29,0.8692493946731235,0.6464017653091294,0.8230674028941356,0.8683739066773133,6
64,292,24,33,0.8619854721549637,0.6044265683787114,0.8014841674748071,0.8595972627596944,7
64,299,21,29,0.8789346246973365,0.6431943982390702,0.8209703148841726,0.876961371597314,8
76,285,31,21,0.87409200968523,0.663167707742726,0.8307483765210264,0.8761658677313642,9
74,283,27,29,0.864406779661017,0.6355233937913725,0.8177290208687977,0.8639601025433882,10
72,289,22,30,0.87409200968523,0.6532695169112109,0.826077097505669,0.872321874674002,11
56,303,24,30,0.8692493946731235,0.5936216041604054,0.7964403066812706,0.8674807528595563,12
75,286,27,25,0.87409200968523,0.6593083610257358,0.8296204620462047,0.8745135409424718,13
64,294,23,32,0.8668280871670703,0.6154102879475891,0.8069585022393324,0.8644853642785936,14
68,296,25,24,0.8813559322033898,0.6587109350675274,0.8293460387064132,0.8815840457713591,15
78,281,23,31,0.8692493946731235,0.6562211931222984,0.8275974025974027,0.8676079368573316,16
77,298,17,21,0.9079903147699758,0.7424537794304186,0.8710732124079915,0.9073221319217949,17
76,278,36,23,0.8571428571428571,0.6270777009836266,0.8122220937849189,0.8600337973589622,18
78,281,22,32,0.8692493946731235,0.6567993872021547,0.8275974025974027,0.8671975724033837,19
83,286,23,21,0.8934624697336562,0.7191149442489265,0.8595238095238096,0.8937968407702065,20
79,289,18,27,0.8910411622276029,0.7075038869714704,0.8530469917529198,0.8894128406358307,21
67,295,23,28,0.8765133171912833,0.6452272830247912,0.8223805708985117,0.875326195562056,22
69,291,29,24,0.8716707021791767,0.6394936222777736,0.8195242610380509,0.872845171574247,23
61,290,30,32,0.8498789346246973,0.5665403486946297,0.783235134769064,0.8492968927045609,24
69,291,28,25,0.8716707021791767,0.6392087126645917,0.8195242610380509,0.8723753838162189,25
63,285,37,28,0.8426150121065376,0.5586681203595957,0.7786618295749681,0.8452077086956554,26
68,271,37,37,0.8208232445520581,0.5274891774891775,0.7637445887445888,0.8208232445520581,27
65,296,22,30,0.87409200968523,0.6347488470184067,0.8167701863354038,0.8721068383138075,28
77,282,26,28,0.8692493946731235,0.6530707028337088,0.8265029873039581,0.8688323565524485,29
73,286,28,26,0.8692493946731235,0.6438054447332743,0.8218690095846646,0.8696942809180856,30
